Year,Entidad federativa,Densidad del personal sanitario,GeoCode,Value
2017,Aguascalientes,Número de dentistas,1,1.21385510204378
2016,Aguascalientes,Número de dentistas,1,0.92229073407702
2015,Aguascalientes,Número de dentistas,1,0.9385617479774
2014,Aguascalientes,Número de dentistas,1,0.93467037163873
2013,Aguascalientes,Número de dentistas,1,0.93881874695862
2012,Aguascalientes,Número de dentistas,1,0.9592617521555
2021,Aguascalientes,Número de personal farmacéutico,1,0.0
2020,Aguascalientes,Número de personal farmacéutico,1,0.0
2019,Aguascalientes,Número de personal farmacéutico,1,0.0
2018,Aguascalientes,Número de personal farmacéutico,1,0.0
2017,Aguascalientes,Número de personal farmacéutico,1,0.0072685934254119
2016,Aguascalientes,Número de personal farmacéutico,1,0.0
2015,Aguascalientes,Número de personal farmacéutico,1,0.0
2014,Aguascalientes,Número de personal farmacéutico,1,0.0
2013,Aguascalientes,Número de personal farmacéutico,1,0.0
2012,Aguascalientes,Número de personal farmacéutico,1,0.0
2021,Baja California,Número de personal sanitario,2,51.2660697639127
2020,Baja California,Número de personal sanitario,2,53.0198070466383
2019,Baja California,Número de personal sanitario,2,51.6967574396524
2018,Baja California,Número de personal sanitario,2,49.9880439912963
2017,Baja California,Número de personal sanitario,2,52.2138848909229
2016,Baja California,Número de personal sanitario,2,50.4035012715469
2015,Baja California,Número de personal sanitario,2,49.6367555603471
2014,Baja California,Número de personal sanitario,2,47.5675376659016
2013,Baja California,Número de personal sanitario,2,47.2824367112634
2012,Baja California,Número de personal sanitario,2,45.8355762638312
2021,Baja California,Número de médicos,2,24.9907863073688
2020,Baja California,Número de médicos,2,26.2347903692789
2019,Baja California,Número de médicos,2,25.750574043589
2018,Baja California,Número de médicos,2,24.4572795621545
2017,Baja California,Número de médicos,2,25.4846266336151
2016,Baja California,Número de médicos,2,24.2468049721817
2015,Baja California,Número de médicos,2,23.3873787373496
2014,Baja California,Número de médicos,2,22.0941621986292
2013,Baja California,Número de médicos,2,22.3823982633446
2012,Baja California,Número de médicos,2,20.67281163128
2021,Baja California,Número de enfermeros y parteros,2,25.6249051531641
2020,Baja California,Número de enfermeros y parteros,2,26.1219939761224
2019,Baja California,Número de enfermeros y parteros,2,25.0799134065341
2018,Baja California,Número de enfermeros y parteros,2,24.9400637615932
2017,Baja California,Número de enfermeros y parteros,2,25.6723320989052
2016,Baja California,Número de enfermeros y parteros,2,25.0783422730939
2015,Baja California,Número de enfermeros y parteros,2,25.2308509694162
2014,Baja California,Número de enfermeros y parteros,2,24.5744566351334
2013,Baja California,Número de enfermeros y parteros,2,24.0253938482115
2012,Baja California,Número de enfermeros y parteros,2,24.3279955167988
2021,Baja California,Número de dentistas,2,0.63140893619789
2020,Baja California,Número de dentistas,2,0.62450685967138
2019,Baja California,Número de dentistas,2,0.80479276446594
2018,Baja California,Número de dentistas,2,0.5708213181599
2017,Baja California,Número de dentistas,2,0.84034292922176
2016,Baja California,Número de dentistas,2,0.85798195005781
2015,Baja California,Número de dentistas,2,0.80707750386117
2014,Baja California,Número de dentistas,2,0.76964287969099
2013,Baja California,Número de dentistas,2,0.83820107471955
2012,Baja California,Número de dentistas,2,0.797941066528
2021,Baja California,Número de personal farmacéutico,2,0.0189693671819108
2020,Baja California,Número de personal farmacéutico,2,0.0385158415656359
2019,Baja California,Número de personal farmacéutico,2,0.0614772250633704
2018,Baja California,Número de personal farmacéutico,2,0.0198793493886532
2017,Baja California,Número de personal farmacéutico,2,0.216583229180865
2016,Baja California,Número de personal farmacéutico,2,0.220372076213479
2015,Baja California,Número de personal farmacéutico,2,0.211448349720084
2014,Baja California,Número de personal farmacéutico,2,0.129275952448096
2013,Baja California,Número de personal farmacéutico,2,0.0364435249878066
2012,Baja California,Número de personal farmacéutico,2,0.0368280492244
2021,Baja California Sur,Número de personal sanitario,3,64.2584759438725
2020,Baja California Sur,Número de personal sanitario,3,65.1913489116549
2019,Baja California Sur,Número de personal sanitario,3,64.076617871159
2018,Baja California Sur,Número de personal sanitario,3,63.0369223668277
2017,Baja California Sur,Número de personal sanitario,3,62.2853885213518
2016,Baja California Sur,Número de personal sanitario,3,64.5865982808567
2015,Baja California Sur,Número de personal sanitario,3,61.7771023246639
2014,Baja California Sur,Número de personal sanitario,3,59.5655569671216
2013,Baja California Sur,Número de personal sanitario,3,58.6919496517854
2012,Baja California Sur,Número de personal sanitario,3,59.9729299243982
2021,Baja California Sur,Número de médicos,3,31.2766804821578
2020,Baja California Sur,Número de médicos,3,30.8186323486283
2019,Baja California Sur,Número de médicos,3,30.6298921863323
2018,Baja California Sur,Número de médicos,3,29.7162949536753
2017,Baja California Sur,Número de médicos,3,28.2657403847429
2016,Baja California Sur,Número de médicos,3,28.901145869375
2015,Baja California Sur,Número de médicos,3,27.5197750629996
2014,Baja California Sur,Número de médicos,3,26.2190880082171
2013,Baja California Sur,Número de médicos,3,26.1160948636889
2012,Baja California Sur,Número de médicos,3,26.8008704300553
2021,Baja California Sur,Número de enfermeros y parteros,3,32.2753906844697
2020,Baja California Sur,Número de enfermeros y parteros,3,33.6022507543109
2019,Baja California Sur,Número de enfermeros y parteros,3,32.3555199151397
2018,Baja California Sur,Número de enfermeros y parteros,3,32.6464357300848
2017,Baja California Sur,Número de enfermeros y parteros,3,32.9192464236944
2016,Baja California Sur,Número de enfermeros y parteros,3,34.6135319778289
2015,Baja California Sur,Número de enfermeros y parteros,3,32.576412177049
2014,Baja California Sur,Número de enfermeros y parteros,3,31.9522906491892
2013,Baja California Sur,Número de enfermeros y parteros,3,31.2634882120318
2012,Baja California Sur,Número de enfermeros y parteros,3,31.8110777928167
2021,Baja California Sur,Número de dentistas,3,0.706404777245
2020,Baja California Sur,Número de dentistas,3,0.77046580871571
2019,Baja California Sur,Número de dentistas,3,1.09120576968707
2018,Baja California Sur,Número de dentistas,3,0.67419168306768
2017,Baja California Sur,Número de dentistas,3,1.10040171291447
2016,Baja California Sur,Número de dentistas,3,1.07192043365287
2015,Baja California Sur,Número de dentistas,3,1.13913253668146
2014,Baja California Sur,Número de dentistas,3,0.99584164979664
2013,Baja California Sur,Número de dentistas,3,1.04989326085181
2012,Baja California Sur,Número de dentistas,3,1.0768206869219
2021,Baja California Sur,Número de personal farmacéutico,3,0.0
2020,Baja California Sur,Número de personal farmacéutico,3,0.0
2019,Baja California Sur,Número de personal farmacéutico,3,0.0
2018,Baja California Sur,Número de personal farmacéutico,3,0.0
2017,Baja California Sur,Número de personal farmacéutico,3,0.0
2016,Baja California Sur,Número de personal farmacéutico,3,0.0
2015,Baja California Sur,Número de personal farmacéutico,3,0.541782547933864
2014,Baja California Sur,Número de personal farmacéutico,3,0.398336659918654
2013,Baja California Sur,Número de personal farmacéutico,3,0.262473315212953
2012,Baja California Sur,Número de personal farmacéutico,3,0.2841610146044
2021,Campeche,Número de personal sanitario,4,55.9974277564353
2020,Campeche,Número de personal sanitario,4,57.2846553676382
2019,Campeche,Número de personal sanitario,4,56.5319100936338
2018,Campeche,Número de personal sanitario,4,57.4991290360264
2017,Campeche,Número de personal sanitario,4,53.7214690180944
2016,Campeche,Número de personal sanitario,4,55.1832155605741
2015,Campeche,Número de personal sanitario,4,54.5574325503473
2014,Campeche,Número de personal sanitario,4,53.9868908014644
2013,Campeche,Número de personal sanitario,4,55.7748461100722
2012,Campeche,Número de personal sanitario,4,55.5898987848648
2021,Campeche,Número de médicos,4,23.873881403446
2020,Campeche,Número de médicos,4,24.7847078352656
2019,Campeche,Número de médicos,4,24.9785071023103
2018,Campeche,Número de médicos,4,25.9169932566196
2017,Campeche,Número de médicos,4,22.7364070795343
2016,Campeche,Número de médicos,4,23.9973602903681
2015,Campeche,Número de médicos,4,23.1885449024467
2014,Campeche,Número de médicos,4,23.5734613680602
2013,Campeche,Número de médicos,4,24.5160429047721
2012,Campeche,Número de médicos,4,24.8770563649281
2021,Campeche,Número de enfermeros y parteros,4,30.9829490536484
2020,Campeche,Número de enfermeros y parteros,4,31.3206751434365
2019,Campeche,Número de enfermeros y parteros,4,30.2018401578788
2018,Campeche,Número de enfermeros y parteros,4,30.4139585803649
2017,Campeche,Número de enfermeros y parteros,4,29.7751189426571
2016,Campeche,Número de enfermeros y parteros,4,29.8252906466003
2015,Campeche,Número de enfermeros y parteros,4,30.1363826742522
2014,Campeche,Número de enfermeros y parteros,4,29.2808373186881
2013,Campeche,Número de enfermeros y parteros,4,29.9917073098988
2012,Campeche,Número de enfermeros y parteros,4,29.5133923216741
2021,Campeche,Número de dentistas,4,1.09143362264518
2020,Campeche,Número de dentistas,4,1.1492908875224
2019,Campeche,Número de dentistas,4,1.31091432717576
2018,Campeche,Número de dentistas,4,1.15783934772293
2017,Campeche,Número de dentistas,4,1.19942175246039
2016,Campeche,Número de dentistas,4,1.30699908724326
2015,Campeche,Número de dentistas,4,1.18887647900597
2014,Campeche,Número de dentistas,4,1.08817673766835
2013,Campeche,Número de dentistas,4,1.17658904572972
2012,Campeche,Número de dentistas,4,1.0956515320668
2021,Campeche,Número de personal farmacéutico,4,0.049163676695729
2020,Campeche,Número de personal farmacéutico,4,0.0299815014136278
2019,Campeche,Número de personal farmacéutico,4,0.0406485062690159
2018,Campeche,Número de personal farmacéutico,4,0.0103378513189548
2017,Campeche,Número de personal farmacéutico,4,0.010521243442635
2016,Campeche,Número de personal farmacéutico,4,0.0535655363624287
2015,Campeche,Número de personal farmacéutico,4,0.0436284946424209
2014,Campeche,Número de personal farmacéutico,4,0.0444153770476877
2013,Campeche,Número de personal farmacéutico,4,0.0905068496715167
2012,Campeche,Número de personal farmacéutico,4,0.1037985661958
2021,Coahuila de Zaragoza,Número de personal sanitario,5,57.5115315894874
2020,Coahuila de Zaragoza,Número de personal sanitario,5,56.1372222498384
2019,Coahuila de Zaragoza,Número de personal sanitario,5,55.8501065768413
2018,Coahuila de Zaragoza,Número de personal sanitario,5,55.0539795920648
2017,Coahuila de Zaragoza,Número de personal sanitario,5,55.1548455042534
2016,Coahuila de Zaragoza,Número de personal sanitario,5,54.083682816847
2015,Coahuila de Zaragoza,Número de personal sanitario,5,52.6402440081105
2014,Coahuila de Zaragoza,Número de personal sanitario,5,50.9231811279515
2013,Coahuila de Zaragoza,Número de personal sanitario,5,50.6010784386971
2012,Coahuila de Zaragoza,Número de personal sanitario,5,46.5084082123344
2021,Coahuila de Zaragoza,Número de médicos,5,23.8926132515081
2020,Coahuila de Zaragoza,Número de médicos,5,23.3322563006412
2019,Coahuila de Zaragoza,Número de médicos,5,23.6361580945969
2018,Coahuila de Zaragoza,Número de médicos,5,22.9628383243131
2017,Coahuila de Zaragoza,Número de médicos,5,22.630618306836
2016,Coahuila de Zaragoza,Número de médicos,5,22.3229102791859
2015,Coahuila de Zaragoza,Número de médicos,5,22.2992005481651
2014,Coahuila de Zaragoza,Número de médicos,5,20.465213697302
2013,Coahuila de Zaragoza,Número de médicos,5,20.6345474622008
2012,Coahuila de Zaragoza,Número de médicos,5,19.6191041374395
2021,Coahuila de Zaragoza,Número de enfermeros y parteros,5,33.0547190517527
2020,Coahuila de Zaragoza,Número de enfermeros y parteros,5,32.1804941094597
2019,Coahuila de Zaragoza,Número de enfermeros y parteros,5,31.3290883137683
2018,Coahuila de Zaragoza,Número de enfermeros y parteros,5,31.5898668493817
2017,Coahuila de Zaragoza,Número de enfermeros y parteros,5,31.7405108794074
2016,Coahuila de Zaragoza,Número de enfermeros y parteros,5,31.0345303513369
2015,Coahuila de Zaragoza,Número de enfermeros y parteros,5,29.5878497185188
2014,Coahuila de Zaragoza,Número de enfermeros y parteros,5,29.5424717370264
2013,Coahuila de Zaragoza,Número de enfermeros y parteros,5,29.0172252719572
2012,Coahuila de Zaragoza,Número de enfermeros y parteros,5,26.1553269520226
2021,Coahuila de Zaragoza,Número de dentistas,5,0.51820477919724
2020,Coahuila de Zaragoza,Número de dentistas,5,0.54680121290451
2019,Coahuila de Zaragoza,Número de dentistas,5,0.83447667133869
2018,Coahuila de Zaragoza,Número de dentistas,5,0.488503095609
2017,Coahuila de Zaragoza,Número de dentistas,5,0.76752383210076
2016,Coahuila de Zaragoza,Número de dentistas,5,0.70981136762905
2015,Coahuila de Zaragoza,Número de dentistas,5,0.73986287874647
2014,Coahuila de Zaragoza,Número de dentistas,5,0.81752751976677
2013,Coahuila de Zaragoza,Número de dentistas,5,0.89104506563232
2012,Coahuila de Zaragoza,Número de dentistas,5,0.72006286461879
2021,Coahuila de Zaragoza,Número de personal farmacéutico,5,0.0459945070293405
2020,Coahuila de Zaragoza,Número de personal farmacéutico,5,0.0776706268330268
2019,Coahuila de Zaragoza,Número de personal farmacéutico,5,0.0503834971374301
2018,Coahuila de Zaragoza,Número de personal farmacéutico,5,0.0127713227610195
2017,Coahuila de Zaragoza,Número de personal farmacéutico,5,0.0161924859092988
2016,Coahuila de Zaragoza,Número de personal farmacéutico,5,0.016430818695117
2015,Coahuila de Zaragoza,Número de personal farmacéutico,5,0.0133308626801166
2014,Coahuila de Zaragoza,Número de personal farmacéutico,5,0.0979681738563482
2013,Coahuila de Zaragoza,Número de personal farmacéutico,5,0.0582606389067288
2012,Coahuila de Zaragoza,Número de personal farmacéutico,5,0.0139142582535032
2021,Colima,Número de personal sanitario,6,65.826690665981
2020,Colima,Número de personal sanitario,6,68.5216766668407
2019,Colima,Número de personal sanitario,6,66.5336511214453
2018,Colima,Número de personal sanitario,6,66.3262018089442
2017,Colima,Número de personal sanitario,6,66.5326383120453
2016,Colima,Número de personal sanitario,6,62.1101103499155
2015,Colima,Número de personal sanitario,6,60.4271050414579
2014,Colima,Número de personal sanitario,6,58.5265641181932
2013,Colima,Número de personal sanitario,6,59.1882750845547
2012,Colima,Número de personal sanitario,6,57.2235575689227
2021,Colima,Número de médicos,6,29.9531511643221
2020,Colima,Número de médicos,6,30.809281757823
2019,Colima,Número de médicos,6,30.7436707632349
2018,Colima,Número de médicos,6,30.5392505652129
2017,Colima,Número de médicos,6,29.8554179156584
2016,Colima,Número de médicos,6,29.6326342826575
2015,Colima,Número de médicos,6,28.0727619385448
2014,Colima,Número de médicos,6,27.0198578318081
2013,Colima,Número de médicos,6,27.5234107171617
2012,Colima,Número de médicos,6,25.6640763058982
2021,Colima,Número de enfermeros y parteros,6,35.1209477638618
2020,Colima,Número de enfermeros y parteros,6,36.9227398991025
2019,Colima,Número de enfermeros y parteros,6,34.8065969499587
2018,Colima,Número de enfermeros y parteros,6,35.0504318502551
2017,Colima,Número de enfermeros y parteros,6,35.6740141492209
2016,Colima,Número de enfermeros y parteros,6,31.4838231951248
2015,Colima,Número de enfermeros y parteros,6,31.2181306256374
2014,Colima,Número de enfermeros y parteros,6,30.3073914478975
2013,Colima,Número de enfermeros y parteros,6,30.3850401490923
2012,Colima,Número de enfermeros y parteros,6,30.3569359732624
2021,Colima,Número de dentistas,6,0.75259173779704
2020,Colima,Número de dentistas,6,0.78965500991527
2019,Colima,Número de dentistas,6,0.98338340825162
2018,Colima,Número de dentistas,6,0.73651939347628
2017,Colima,Número de dentistas,6,1.00320624716594
2016,Colima,Número de dentistas,6,0.9800411889533
2015,Colima,Número de dentistas,6,1.09464372810713
2014,Colima,Número de dentistas,6,1.15698607948212
2013,Colima,Número de dentistas,6,1.23668407611071
2012,Colima,Número de dentistas,6,1.15854973038055
2021,Colima,Número de personal farmacéutico,6,0.0
2020,Colima,Número de personal farmacéutico,6,0.0
2019,Colima,Número de personal farmacéutico,6,0.0
2018,Colima,Número de personal farmacéutico,6,0.0
2017,Colima,Número de personal farmacéutico,6,0.0
2016,Colima,Número de personal farmacéutico,6,0.013611683179907
2015,Colima,Número de personal farmacéutico,6,0.041568749168625
2014,Colima,Número de personal farmacéutico,6,0.0423287590054435
2013,Colima,Número de personal farmacéutico,6,0.0431401421899087
2012,Colima,Número de personal farmacéutico,6,0.0439955593815398
2021,Chiapas,Número de personal sanitario,7,40.919589668595
2020,Chiapas,Número de personal sanitario,7,40.318534572044
2019,Chiapas,Número de personal sanitario,7,39.8173928009615
2018,Chiapas,Número de personal sanitario,7,40.7647987398697
2017,Chiapas,Número de personal sanitario,7,42.0524178771504
2016,Chiapas,Número de personal sanitario,7,40.024516383559
2015,Chiapas,Número de personal sanitario,7,36.1165292184982
2014,Chiapas,Número de personal sanitario,7,35.5743051306913
2013,Chiapas,Número de personal sanitario,7,34.8484960707487
2012,Chiapas,Número de personal sanitario,7,31.0431917529341
2021,Chiapas,Número de médicos,7,15.4669992903073
2020,Chiapas,Número de médicos,7,15.295704446155
2019,Chiapas,Número de médicos,7,14.7320989062125
2018,Chiapas,Número de médicos,7,15.7138854275685
2017,Chiapas,Número de médicos,7,16.1478948605602
2016,Chiapas,Número de médicos,7,15.4321216534691
2015,Chiapas,Número de médicos,7,14.2186461143456
2014,Chiapas,Número de médicos,7,13.8699948013857
2013,Chiapas,Número de médicos,7,13.7589089861522
2012,Chiapas,Número de médicos,7,12.5724728138881
2021,Chiapas,Número de enfermeros y parteros,7,24.7024667197144
2020,Chiapas,Número de enfermeros y parteros,7,24.2654615315215
2019,Chiapas,Número de enfermeros y parteros,7,24.3061925102859
2018,Chiapas,Número de enfermeros y parteros,7,24.2816644317111
2017,Chiapas,Número de enfermeros y parteros,7,25.0540574870897
2016,Chiapas,Número de enfermeros y parteros,7,23.758125779578
2015,Chiapas,Número de enfermeros y parteros,7,21.0387731759504
2014,Chiapas,Número de enfermeros y parteros,7,20.8998084902527
2013,Chiapas,Número de enfermeros y parteros,7,20.288494636189
2012,Chiapas,Número de enfermeros y parteros,7,17.7582457361753
2021,Chiapas,Número de dentistas,7,0.705391513796
2020,Chiapas,Número de dentistas,7,0.71199628226255
2019,Chiapas,Número de dentistas,7,0.7560824799222
2018,Chiapas,Número de dentistas,7,0.75666770730943
2017,Chiapas,Número de dentistas,7,0.83039016292438
2016,Chiapas,Número de dentistas,7,0.79348246848688
2015,Chiapas,Número de dentistas,7,0.81954565519284
2014,Chiapas,Número de dentistas,7,0.76427674710025
2013,Chiapas,Número de dentistas,7,0.75431332733261
2012,Chiapas,Número de dentistas,7,0.66682728736644
2021,Chiapas,Número de personal farmacéutico,7,0.044732144777307
2020,Chiapas,Número de personal farmacéutico,7,0.0453723121049664
2019,Chiapas,Número de personal farmacéutico,7,0.023018904540957
2018,Chiapas,Número de personal farmacéutico,7,0.0125811732806793
2017,Chiapas,Número de personal farmacéutico,7,0.0200753665761937
2016,Chiapas,Número de personal farmacéutico,7,0.0407864820250266
2015,Chiapas,Número de personal farmacéutico,7,0.0395642730093095
2014,Chiapas,Número de personal farmacéutico,7,0.0402250919526447
2013,Chiapas,Número de personal farmacéutico,7,0.0467791210748906
2012,Chiapas,Número de personal farmacéutico,7,0.0456459155042504
2021,Chihuahua,Número de personal sanitario,8,64.1104171347575
2020,Chihuahua,Número de personal sanitario,8,62.1072753898672
2019,Chihuahua,Número de personal sanitario,8,63.930736390617
2018,Chihuahua,Número de personal sanitario,8,63.6215176889171
2017,Chihuahua,Número de personal sanitario,8,62.4329497657884
2016,Chihuahua,Número de personal sanitario,8,62.4291667488716
2015,Chihuahua,Número de personal sanitario,8,59.0601747942268
2014,Chihuahua,Número de personal sanitario,8,55.8163785977054
2013,Chihuahua,Número de personal sanitario,8,54.8669962467403
2012,Chihuahua,Número de personal sanitario,8,54.034937099403
2021,Chihuahua,Número de médicos,8,29.2557863847991
2020,Chihuahua,Número de médicos,8,28.1284665711076
2019,Chihuahua,Número de médicos,8,29.487494439391
2018,Chihuahua,Número de médicos,8,29.0210473006322
2017,Chihuahua,Número de médicos,8,27.733521837438
2016,Chihuahua,Número de médicos,8,28.1113471306094
2015,Chihuahua,Número de médicos,8,24.9137213772172
2014,Chihuahua,Número de médicos,8,24.47397798094
2013,Chihuahua,Número de médicos,8,24.5865462149578
2012,Chihuahua,Número de médicos,8,24.680003760331
2021,Chihuahua,Número de enfermeros y parteros,8,34.2186353937671
2020,Chihuahua,Número de enfermeros y parteros,8,33.4421767061153
2019,Chihuahua,Número de enfermeros y parteros,8,33.6836793636671
2018,Chihuahua,Número de enfermeros y parteros,8,33.96205563114
2017,Chihuahua,Número de enfermeros y parteros,8,33.9323651175612
2016,Chihuahua,Número de enfermeros y parteros,8,33.5204317622326
2015,Chihuahua,Número de enfermeros y parteros,8,33.4164620248247
2014,Chihuahua,Número de enfermeros y parteros,8,30.6126655273144
2013,Chihuahua,Número de enfermeros y parteros,8,29.5813464566399
2012,Chihuahua,Número de enfermeros y parteros,8,28.666860723909
2021,Chihuahua,Número de dentistas,8,0.63338881784624
2020,Chihuahua,Número de dentistas,8,0.53400156307256
2019,Chihuahua,Número de dentistas,8,0.75690677431563
2018,Chihuahua,Número de dentistas,8,0.63841475714488
2017,Chihuahua,Número de dentistas,8,0.76706281078919
2016,Chihuahua,Número de dentistas,8,0.79738785602957
2015,Chihuahua,Número de dentistas,8,0.72446115436525
2014,Chihuahua,Número de dentistas,8,0.72694984101802
2013,Chihuahua,Número de dentistas,8,0.6934882853825
2012,Chihuahua,Número de dentistas,8,0.68524104061497
2021,Chihuahua,Número de personal farmacéutico,8,0.0026065383450463
2020,Chihuahua,Número de personal farmacéutico,8,0.002630549571786
2019,Chihuahua,Número de personal farmacéutico,8,0.0026558132432127
2018,Chihuahua,Número de personal farmacéutico,8,0.0
2017,Chihuahua,Número de personal farmacéutico,8,0.0
2016,Chihuahua,Número de personal farmacéutico,8,0.0
2015,Chihuahua,Número de personal farmacéutico,8,0.0055302378195821
2014,Chihuahua,Número de personal farmacéutico,8,0.0027852484330192
2013,Chihuahua,Número de personal farmacéutico,8,0.0056152897601822
2012,Chihuahua,Número de personal farmacéutico,8,0.0028315745479958
2021,Ciudad de México,Número de personal sanitario,9,114.999988338292
2020,Ciudad de México,Número de personal sanitario,9,109.672794527338
2019,Ciudad de México,Número de personal sanitario,9,110.108132761347
2018,Ciudad de México,Número de personal sanitario,9,109.912242524522
2017,Ciudad de México,Número de personal sanitario,9,109.532609149698
