Year,Serie de tiempo,Entidad federativa,Municipios,Sexo,Poblaciones,GeoCode,Value
2020,Censo de Población y Vivienda,Aguascalientes,San Francisco de los Romo,Mujeres,,1011,99.49801765
2020,Censo de Población y Vivienda,Aguascalientes,San Francisco de los Romo,,Hablantes de lengua indigena,1011,99.15254237
2020,Censo de Población y Vivienda,Aguascalientes,San Francisco de los Romo,,Discapacidad,1011,99.28186715
2020,Censo de Población y Vivienda,Aguascalientes,San Francisco de los Romo,,Afromexicana o afrodescendiente,1011,100.0
2020,Censo de Población y Vivienda,Aguascalientes,San Francisco de los Romo,,Residentes en otra entidad 5 años atrás,1011,99.68857054
2020,Censo de Población y Vivienda,Baja California,,Total,,2,99.19210976
2020,Censo de Población y Vivienda,Baja California,,Hombres,,2,99.06916927
2020,Censo de Población y Vivienda,Baja California,,Mujeres,,2,99.3158274
2020,Censo de Población y Vivienda,Baja California,,,Hablantes de lengua indigena,2,94.34979467
2020,Censo de Población y Vivienda,Baja California,,,Discapacidad,2,99.13679151
2020,Censo de Población y Vivienda,Baja California,,,Afromexicana o afrodescendiente,2,99.24734915
2020,Censo de Población y Vivienda,Baja California,,,Residentes en otra entidad 5 años atrás,2,98.96109893
2020,Censo de Población y Vivienda,Baja California,Ensenada,Total,,2001,98.49854234
2020,Censo de Población y Vivienda,Baja California,Ensenada,Hombres,,2001,98.24972652
2020,Censo de Población y Vivienda,Baja California,Ensenada,Mujeres,,2001,98.74370494
2020,Censo de Población y Vivienda,Baja California,Ensenada,,Hablantes de lengua indigena,2001,91.07435168
2020,Censo de Población y Vivienda,Baja California,Ensenada,,Discapacidad,2001,98.12981298
2020,Censo de Población y Vivienda,Baja California,Ensenada,,Afromexicana o afrodescendiente,2001,98.78172589
2020,Censo de Población y Vivienda,Baja California,Ensenada,,Residentes en otra entidad 5 años atrás,2001,97.18721309
2020,Censo de Población y Vivienda,Baja California,Mexicali,Total,,2002,99.53350908
2020,Censo de Población y Vivienda,Baja California,Mexicali,Hombres,,2002,99.3813698
2020,Censo de Población y Vivienda,Baja California,Mexicali,Mujeres,,2002,99.68667279
2020,Censo de Población y Vivienda,Baja California,Mexicali,,Hablantes de lengua indigena,2002,98.70570762
2020,Censo de Población y Vivienda,Baja California,Mexicali,,Discapacidad,2002,99.3543564
2020,Censo de Población y Vivienda,Baja California,Mexicali,,Afromexicana o afrodescendiente,2002,99.75905847
2020,Censo de Población y Vivienda,Baja California,Mexicali,,Residentes en otra entidad 5 años atrás,2002,99.0855401
2020,Censo de Población y Vivienda,Baja California,Tecate,Total,,2003,98.79369793
2020,Censo de Población y Vivienda,Baja California,Tecate,Hombres,,2003,98.57711346
2020,Censo de Población y Vivienda,Baja California,Tecate,Mujeres,,2003,99.01305442
2020,Censo de Población y Vivienda,Baja California,Tecate,,Hablantes de lengua indigena,2003,94.01459854
2020,Censo de Población y Vivienda,Baja California,Tecate,,Discapacidad,2003,98.4358707
2020,Censo de Población y Vivienda,Baja California,Tecate,,Afromexicana o afrodescendiente,2003,99.37853107
2020,Censo de Población y Vivienda,Baja California,Tecate,,Residentes en otra entidad 5 años atrás,2003,97.79200707
2020,Censo de Población y Vivienda,Baja California,Tijuana,Total,,2004,99.48967075
2020,Censo de Población y Vivienda,Baja California,Tijuana,Hombres,,2004,99.43150431
2020,Censo de Población y Vivienda,Baja California,Tijuana,Mujeres,,2004,99.54830485
2020,Censo de Población y Vivienda,Baja California,Tijuana,,Hablantes de lengua indigena,2004,99.28822711
2020,Censo de Población y Vivienda,Baja California,Tijuana,,Discapacidad,2004,99.5920108
2020,Censo de Población y Vivienda,Baja California,Tijuana,,Afromexicana o afrodescendiente,2004,99.78590946
2020,Censo de Población y Vivienda,Baja California,Tijuana,,Residentes en otra entidad 5 años atrás,2004,99.69708267
2020,Censo de Población y Vivienda,Baja California,Playas de Rosarito,Total,,2005,98.98548614
2020,Censo de Población y Vivienda,Baja California,Playas de Rosarito,Hombres,,2005,98.83696748
2020,Censo de Población y Vivienda,Baja California,Playas de Rosarito,Mujeres,,2005,99.13743719
2020,Censo de Población y Vivienda,Baja California,Playas de Rosarito,,Hablantes de lengua indigena,2005,97.41156169
2020,Censo de Población y Vivienda,Baja California,Playas de Rosarito,,Discapacidad,2005,99.11623439
2020,Censo de Población y Vivienda,Baja California,Playas de Rosarito,,Afromexicana o afrodescendiente,2005,99.06895548
2020,Censo de Población y Vivienda,Baja California,Playas de Rosarito,,Residentes en otra entidad 5 años atrás,2005,99.21118681
2020,Censo de Población y Vivienda,Baja California,San Quintín,Total,,2006,94.44262915
2020,Censo de Población y Vivienda,Baja California,San Quintín,Hombres,,2006,94.12840618
2020,Censo de Población y Vivienda,Baja California,San Quintín,Mujeres,,2006,94.76672082
2020,Censo de Población y Vivienda,Baja California,San Quintín,,Hablantes de lengua indigena,2006,91.64814598
2020,Censo de Población y Vivienda,Baja California,San Quintín,,Discapacidad,2006,96.15261814
2020,Censo de Población y Vivienda,Baja California,San Quintín,,Afromexicana o afrodescendiente,2006,94.09852463
2020,Censo de Población y Vivienda,Baja California,San Quintín,,Residentes en otra entidad 5 años atrás,2006,94.06215316
2020,Censo de Población y Vivienda,Baja California Sur,,Total,,3,98.55318073
2020,Censo de Población y Vivienda,Baja California Sur,,Hombres,,3,98.41272618
2020,Censo de Población y Vivienda,Baja California Sur,,Mujeres,,3,98.69711178
2020,Censo de Población y Vivienda,Baja California Sur,,,Hablantes de lengua indigena,3,96.6113259
2020,Censo de Población y Vivienda,Baja California Sur,,,Discapacidad,3,98.550477
2020,Censo de Población y Vivienda,Baja California Sur,,,Afromexicana o afrodescendiente,3,99.35865433
2020,Censo de Población y Vivienda,Baja California Sur,,,Residentes en otra entidad 5 años atrás,3,98.91716525
2020,Censo de Población y Vivienda,Baja California Sur,Comondú,Total,,3001,98.63760596
2020,Censo de Población y Vivienda,Baja California Sur,Comondú,Hombres,,3001,98.3671888
2020,Censo de Población y Vivienda,Baja California Sur,Comondú,Mujeres,,3001,98.90944499
2020,Censo de Población y Vivienda,Baja California Sur,Comondú,,Hablantes de lengua indigena,3001,95.99499374
2020,Censo de Población y Vivienda,Baja California Sur,Comondú,,Discapacidad,3001,97.99465241
2020,Censo de Población y Vivienda,Baja California Sur,Comondú,,Afromexicana o afrodescendiente,3001,98.49246231
2020,Censo de Población y Vivienda,Baja California Sur,Comondú,,Residentes en otra entidad 5 años atrás,3001,99.13693901
2020,Censo de Población y Vivienda,Baja California Sur,Mulegé,Total,,3002,97.63717805
2020,Censo de Población y Vivienda,Baja California Sur,Mulegé,Hombres,,3002,97.39004956
2020,Censo de Población y Vivienda,Baja California Sur,Mulegé,Mujeres,,3002,97.89435884
2020,Censo de Población y Vivienda,Baja California Sur,Mulegé,,Hablantes de lengua indigena,3002,94.95289367
2020,Censo de Población y Vivienda,Baja California Sur,Mulegé,,Discapacidad,3002,98.13341493
2020,Censo de Población y Vivienda,Baja California Sur,Mulegé,,Afromexicana o afrodescendiente,3002,97.32620321
2020,Censo de Población y Vivienda,Baja California Sur,Mulegé,,Residentes en otra entidad 5 años atrás,3002,98.63467108
2020,Censo de Población y Vivienda,Baja California Sur,La Paz,Total,,3003,98.60829016
2020,Censo de Población y Vivienda,Baja California Sur,La Paz,Hombres,,3003,98.44502268
2020,Censo de Población y Vivienda,Baja California Sur,La Paz,Mujeres,,3003,98.76927721
2020,Censo de Población y Vivienda,Baja California Sur,La Paz,,Hablantes de lengua indigena,3003,94.24854502
2020,Censo de Población y Vivienda,Baja California Sur,La Paz,,Discapacidad,3003,98.3322433
2020,Censo de Población y Vivienda,Baja California Sur,La Paz,,Afromexicana o afrodescendiente,3003,99.70017358
2020,Censo de Población y Vivienda,Baja California Sur,La Paz,,Residentes en otra entidad 5 años atrás,3003,98.52571506
2020,Censo de Población y Vivienda,Baja California Sur,Los Cabos,Total,,3008,98.62689733
2020,Censo de Población y Vivienda,Baja California Sur,Los Cabos,Hombres,,3008,98.5533101
2020,Censo de Población y Vivienda,Baja California Sur,Los Cabos,Mujeres,,3008,98.70478551
2020,Censo de Población y Vivienda,Baja California Sur,Los Cabos,,Hablantes de lengua indigena,3008,98.58685297
2020,Censo de Población y Vivienda,Baja California Sur,Los Cabos,,Discapacidad,3008,99.13152476
2020,Censo de Población y Vivienda,Baja California Sur,Los Cabos,,Afromexicana o afrodescendiente,3008,99.41210375
2020,Censo de Población y Vivienda,Baja California Sur,Los Cabos,,Residentes en otra entidad 5 años atrás,3008,99.05746799
2020,Censo de Población y Vivienda,Baja California Sur,Loreto,Total,,3009,99.0881459
2020,Censo de Población y Vivienda,Baja California Sur,Loreto,Hombres,,3009,98.89673433
2020,Censo de Población y Vivienda,Baja California Sur,Loreto,Mujeres,,3009,99.28752011
2020,Censo de Población y Vivienda,Baja California Sur,Loreto,,Hablantes de lengua indigena,3009,96.0199005
2020,Censo de Población y Vivienda,Baja California Sur,Loreto,,Discapacidad,3009,99.33333333
2020,Censo de Población y Vivienda,Baja California Sur,Loreto,,Afromexicana o afrodescendiente,3009,99.07834101
2020,Censo de Población y Vivienda,Baja California Sur,Loreto,,Residentes en otra entidad 5 años atrás,3009,98.73096447
2020,Censo de Población y Vivienda,Campeche,,Total,,4,98.49114667
2020,Censo de Población y Vivienda,Campeche,,Hombres,,4,98.32241902
2020,Censo de Población y Vivienda,Campeche,,Mujeres,,4,98.6543682
2020,Censo de Población y Vivienda,Campeche,,,Hablantes de lengua indigena,4,98.29182038
2020,Censo de Población y Vivienda,Campeche,,,Discapacidad,4,98.62299748
2020,Censo de Población y Vivienda,Campeche,,,Afromexicana o afrodescendiente,4,99.4499507
2020,Censo de Población y Vivienda,Campeche,,,Residentes en otra entidad 5 años atrás,4,97.85230524
2020,Censo de Población y Vivienda,Campeche,Calkiní,Total,,4001,99.2157393
2020,Censo de Población y Vivienda,Campeche,Calkiní,Hombres,,4001,99.131867
2020,Censo de Población y Vivienda,Campeche,Calkiní,Mujeres,,4001,99.29715866
2020,Censo de Población y Vivienda,Campeche,Calkiní,,Hablantes de lengua indigena,4001,99.14179104
2020,Censo de Población y Vivienda,Campeche,Calkiní,,Discapacidad,4001,99.15368991
2020,Censo de Población y Vivienda,Campeche,Calkiní,,Afromexicana o afrodescendiente,4001,99.72375691
2020,Censo de Población y Vivienda,Campeche,Calkiní,,Residentes en otra entidad 5 años atrás,4001,99.7329773
2020,Censo de Población y Vivienda,Campeche,Campeche,Total,,4002,99.48407848
2020,Censo de Población y Vivienda,Campeche,Campeche,Hombres,,4002,99.39748336
2020,Censo de Población y Vivienda,Campeche,Campeche,Mujeres,,4002,99.56419139
2020,Censo de Población y Vivienda,Campeche,Campeche,,Hablantes de lengua indigena,4002,99.15818474
2020,Censo de Población y Vivienda,Campeche,Campeche,,Discapacidad,4002,99.38998515
2020,Censo de Población y Vivienda,Campeche,Campeche,,Afromexicana o afrodescendiente,4002,99.54236788
2020,Censo de Población y Vivienda,Campeche,Campeche,,Residentes en otra entidad 5 años atrás,4002,99.56058589
2020,Censo de Población y Vivienda,Campeche,Carmen,Total,,4003,97.94688182
2020,Censo de Población y Vivienda,Campeche,Carmen,Hombres,,4003,97.8387297
2020,Censo de Población y Vivienda,Campeche,Carmen,Mujeres,,4003,98.05231517
2020,Censo de Población y Vivienda,Campeche,Carmen,,Hablantes de lengua indigena,4003,97.91785511
2020,Censo de Población y Vivienda,Campeche,Carmen,,Discapacidad,4003,99.02912621
2020,Censo de Población y Vivienda,Campeche,Carmen,,Afromexicana o afrodescendiente,4003,99.77614327
2020,Censo de Población y Vivienda,Campeche,Carmen,,Residentes en otra entidad 5 años atrás,4003,99.09290557
2020,Censo de Población y Vivienda,Campeche,Champotón,Total,,4004,98.66468462
2020,Censo de Población y Vivienda,Campeche,Champotón,Hombres,,4004,98.43136248
2020,Censo de Población y Vivienda,Campeche,Champotón,Mujeres,,4004,98.89721874
2020,Censo de Población y Vivienda,Campeche,Champotón,,Hablantes de lengua indigena,4004,98.02749552
2020,Censo de Población y Vivienda,Campeche,Champotón,,Discapacidad,4004,98.0444879
2020,Censo de Población y Vivienda,Campeche,Champotón,,Afromexicana o afrodescendiente,4004,99.15730337
2020,Censo de Población y Vivienda,Campeche,Champotón,,Residentes en otra entidad 5 años atrás,4004,97.23404255
2020,Censo de Población y Vivienda,Campeche,Hecelchakán,Total,,4005,99.49849549
2020,Censo de Población y Vivienda,Campeche,Hecelchakán,Hombres,,4005,99.40150261
2020,Censo de Población y Vivienda,Campeche,Hecelchakán,Mujeres,,4005,99.59254229
2020,Censo de Población y Vivienda,Campeche,Hecelchakán,,Hablantes de lengua indigena,4005,99.22501823
2020,Censo de Población y Vivienda,Campeche,Hecelchakán,,Discapacidad,4005,99.05826957
2020,Censo de Población y Vivienda,Campeche,Hecelchakán,,Afromexicana o afrodescendiente,4005,99.12280702
2020,Censo de Población y Vivienda,Campeche,Hecelchakán,,Residentes en otra entidad 5 años atrás,4005,99.12663755
2020,Censo de Población y Vivienda,Campeche,Hopelchén,Total,,4006,98.6386315
2020,Censo de Población y Vivienda,Campeche,Hopelchén,Hombres,,4006,98.47439328
2020,Censo de Población y Vivienda,Campeche,Hopelchén,Mujeres,,4006,98.80694665
2020,Censo de Población y Vivienda,Campeche,Hopelchén,,Hablantes de lengua indigena,4006,98.41116996
2020,Censo de Población y Vivienda,Campeche,Hopelchén,,Discapacidad,4006,98.52941176
2020,Censo de Población y Vivienda,Campeche,Hopelchén,,Afromexicana o afrodescendiente,4006,98.76868953
2020,Censo de Población y Vivienda,Campeche,Hopelchén,,Residentes en otra entidad 5 años atrás,4006,98.76237624
2020,Censo de Población y Vivienda,Campeche,Palizada,Total,,4007,97.87037037
2020,Censo de Población y Vivienda,Campeche,Palizada,Hombres,,4007,97.52385279
2020,Censo de Población y Vivienda,Campeche,Palizada,Mujeres,,4007,98.23029731
2020,Censo de Población y Vivienda,Campeche,Palizada,,Hablantes de lengua indigena,4007,95.52238806
2020,Censo de Población y Vivienda,Campeche,Palizada,,Discapacidad,4007,98.15242494
2020,Censo de Población y Vivienda,Campeche,Palizada,,Afromexicana o afrodescendiente,4007,98.33333333
2020,Censo de Población y Vivienda,Campeche,Palizada,,Residentes en otra entidad 5 años atrás,4007,98.39572193
2020,Censo de Población y Vivienda,Campeche,Tenabo,Total,,4008,99.01206505
2020,Censo de Población y Vivienda,Campeche,Tenabo,Hombres,,4008,98.87698687
2020,Censo de Población y Vivienda,Campeche,Tenabo,Mujeres,,4008,99.15044248
2020,Censo de Población y Vivienda,Campeche,Tenabo,,Hablantes de lengua indigena,4008,98.63360324
2020,Censo de Población y Vivienda,Campeche,Tenabo,,Discapacidad,4008,98.54881266
2020,Censo de Población y Vivienda,Campeche,Tenabo,,Afromexicana o afrodescendiente,4008,97.24770642
2020,Censo de Población y Vivienda,Campeche,Tenabo,,Residentes en otra entidad 5 años atrás,4008,95.0
2020,Censo de Población y Vivienda,Campeche,Escárcega,Total,,4009,98.65869832
2020,Censo de Población y Vivienda,Campeche,Escárcega,Hombres,,4009,98.41172251
2020,Censo de Población y Vivienda,Campeche,Escárcega,Mujeres,,4009,98.89739865
2020,Censo de Población y Vivienda,Campeche,Escárcega,,Hablantes de lengua indigena,4009,97.50710003
2020,Censo de Población y Vivienda,Campeche,Escárcega,,Discapacidad,4009,97.73809524
2020,Censo de Población y Vivienda,Campeche,Escárcega,,Afromexicana o afrodescendiente,4009,99.73649539
2020,Censo de Población y Vivienda,Campeche,Escárcega,,Residentes en otra entidad 5 años atrás,4009,97.92354884
2020,Censo de Población y Vivienda,Campeche,Calakmul,Total,,4010,98.15340909
2020,Censo de Población y Vivienda,Campeche,Calakmul,Hombres,,4010,97.89879398
2020,Censo de Población y Vivienda,Campeche,Calakmul,Mujeres,,4010,98.41605746
2020,Censo de Población y Vivienda,Campeche,Calakmul,,Hablantes de lengua indigena,4010,97.65780071
2020,Censo de Población y Vivienda,Campeche,Calakmul,,Discapacidad,4010,97.31308411
2020,Censo de Población y Vivienda,Campeche,Calakmul,,Afromexicana o afrodescendiente,4010,97.16088328
2020,Censo de Población y Vivienda,Campeche,Calakmul,,Residentes en otra entidad 5 años atrás,4010,96.40980736
2020,Censo de Población y Vivienda,Campeche,Candelaria,Total,,4011,92.83867245
2020,Censo de Población y Vivienda,Campeche,Candelaria,Hombres,,4011,92.2656614
2020,Censo de Población y Vivienda,Campeche,Candelaria,Mujeres,,4011,93.42218772
2020,Censo de Población y Vivienda,Campeche,Candelaria,,Hablantes de lengua indigena,4011,85.63380282
2020,Censo de Población y Vivienda,Campeche,Candelaria,,Discapacidad,4011,92.86000802
2020,Censo de Población y Vivienda,Campeche,Candelaria,,Afromexicana o afrodescendiente,4011,97.42813918
2020,Censo de Población y Vivienda,Campeche,Candelaria,,Residentes en otra entidad 5 años atrás,4011,84.42184154
2020,Censo de Población y Vivienda,Campeche,Seybaplaya,Total,,4012,99.41068622
2020,Censo de Población y Vivienda,Campeche,Seybaplaya,Hombres,,4012,99.29171039
2020,Censo de Población y Vivienda,Campeche,Seybaplaya,Mujeres,,4012,99.5292887
2020,Censo de Población y Vivienda,Campeche,Seybaplaya,,Hablantes de lengua indigena,4012,97.71167048
2020,Censo de Población y Vivienda,Campeche,Seybaplaya,,Discapacidad,4012,99.06382979
2020,Censo de Población y Vivienda,Campeche,Seybaplaya,,Afromexicana o afrodescendiente,4012,98.86363636
2020,Censo de Población y Vivienda,Campeche,Seybaplaya,,Residentes en otra entidad 5 años atrás,4012,99.41520468
2020,Censo de Población y Vivienda,Campeche,Dzitbalché,Total,,4013,0.0
2020,Censo de Población y Vivienda,Campeche,Dzitbalché,Hombres,,4013,0.0
2020,Censo de Población y Vivienda,Campeche,Dzitbalché,Mujeres,,4013,0.0
2020,Censo de Población y Vivienda,Campeche,Dzitbalché,,Hablantes de lengua indigena,4013,0.0
2020,Censo de Población y Vivienda,Campeche,Dzitbalché,,Discapacidad,4013,0.0
2020,Censo de Población y Vivienda,Campeche,Dzitbalché,,Afromexicana o afrodescendiente,4013,0.0
2020,Censo de Población y Vivienda,Campeche,Dzitbalché,,Residentes en otra entidad 5 años atrás,4013,0.0
2020,Censo de Población y Vivienda,Coahuila de Zaragoza,,Total,,5,99.62889195
2020,Censo de Población y Vivienda,Coahuila de Zaragoza,,Hombres,,5,99.58400502
2020,Censo de Población y Vivienda,Coahuila de Zaragoza,,Mujeres,,5,99.6730998
2020,Censo de Población y Vivienda,Coahuila de Zaragoza,,,Hablantes de lengua indigena,5,99.64064684
2020,Censo de Población y Vivienda,Coahuila de Zaragoza,,,Discapacidad,5,99.64368417
2020,Censo de Población y Vivienda,Coahuila de Zaragoza,,,Afromexicana o afrodescendiente,5,99.8016392
2020,Censo de Población y Vivienda,Coahuila de Zaragoza,,,Residentes en otra entidad 5 años atrás,5,99.79952232
2020,Censo de Población y Vivienda,Coahuila de Zaragoza,Abasolo,Total,,5001,100.0
2020,Censo de Población y Vivienda,Coahuila de Zaragoza,Abasolo,Hombres,,5001,100.0
2020,Censo de Población y Vivienda,Coahuila de Zaragoza,Abasolo,Mujeres,,5001,100.0
