Year,Series,Sexo,Grupo de edad,Entidad federativa,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila de Zaragoza,Colima,Chiapas,Chihuahua,Ciudad de México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán de Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz de Ignacio de la Llave,Yucatán,Zacatecas,GeoCode,Value
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.04668371
2008,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8431993
2018,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.34373647
2016,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1404109
2014,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.31890121
2012,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.39751158
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.62342863
2008,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.64963965
2018,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,Menores_de_18_años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.89717402
2016,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,Menores_de_18_años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.25631285
2014,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,Menores_de_18_años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.567279
2012,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,Menores_de_18_años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.15793754
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,Menores_de_18_años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.43966356
2008,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,Menores_de_18_años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.69210749
2018,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,De_18_años_o_más,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.81055135
2016,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,De_18_años_o_más,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.47953171
2014,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,De_18_años_o_más,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.25874429
2012,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,De_18_años_o_más,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.87208603
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,De_18_años_o_más,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.31494298
2008,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,De_18_años_o_más,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.45310995
2018,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,Entre_12_y_29_años_de_edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00571854
2016,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,Entre_12_y_29_años_de_edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5614968
2014,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,Entre_12_y_29_años_de_edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.64984616
2012,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,Entre_12_y_29_años_de_edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.09178873
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,Entre_12_y_29_años_de_edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.26968414
2008,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,Entre_12_y_29_años_de_edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.05623735
2018,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,De_0_a_11_años_y_de_30_años_o_más,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.15045329
2016,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,De_0_a_11_años_y_de_30_años_o_más,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.83077432
2014,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,De_0_a_11_años_y_de_30_años_o_más,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7699287
2012,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,De_0_a_11_años_y_de_30_años_o_más,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.95915647
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,De_0_a_11_años_y_de_30_años_o_más,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.62438301
2008,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,De_0_a_11_años_y_de_30_años_o_más,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.59184299
2018,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,De_65_años_o_más,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.20854206
2016,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,De_65_años_o_más,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3501677
2014,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,De_65_años_o_más,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.97663114
2012,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,De_65_años_o_más,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.91769221
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,De_65_años_o_más,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.43007915
2008,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,De_65_años_o_más,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.30434298
2018,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,Menores_de_65_años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.61185893
2016,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,Menores_de_65_años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.28378191
2014,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,Menores_de_65_años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.62668894
2012,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,Menores_de_65_años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.58717318
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,Menores_de_65_años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.07773128
2008,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad",,Menores_de_65_años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.91265474
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,Estados Unidos Mexicanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	00",NA
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,Aguascalientes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	01",NA
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,Aguascalientes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	01001",15.57810154
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,Asientos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	01002",31.53278934
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,Calvillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	01003",19.32028004
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,Cosío,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	01004",30.50022182
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,Jesús María,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	01005",27.41729064
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,Pabellón de Arteaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	01006",33.99977248
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,Rincón de Romos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	01007",40.4369156
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,San José de Gracia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	01008",32.12827988
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,Tepezalá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	01009",35.75538499
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,El Llano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	01010",41.39513453
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,San Francisco de los Romo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	01011",20.07190513
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,Baja California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	02",NA
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,Ensenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	02001",18.10510352
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,Mexicali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	02002",12.65797456
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,Tecate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	02003",11.5339084
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,Tijuana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	02004",18.3108926
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,Playas de Rosarito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	02005",16.67725719
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,San Quintín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	02006",ND
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,Baja California Sur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	03",NA
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,Comondú,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	03001",29.88797251
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,Mulegé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	03002",30.46963869
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,La Paz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	03003",16.78875926
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,Los Cabos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	03008",33.71141698
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,Loreto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	03009",32.04125493
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,Campeche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	04",NA
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,Calkiní,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	04001",42.7109877
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,Campeche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	04002",20.19379922
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,Carmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	04003",22.27132253
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,Champotón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	04004",31.72175698
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,Hecelchakán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	04005",37.91392373
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,Hopelchén,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	04006",43.3954344
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,Palizada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	04007",37.00278552
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,Tenabo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	04008",33.27994509
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,Escárcega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	04009",59.9178266
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,Calakmul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	04010",54.63499038
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,Candelaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	04011",48.2568403
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,Seybaplaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	04012",ND
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,Dzitbalché,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	04013",ND
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,Coahuila de Zaragoza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05",NA
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,Abasolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05001",30.2742616
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,Acuña,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05002",15.71581824
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,Allende,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05003",9.048670515
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,Arteaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05004",43.81191279
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,Candela,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05005",38.2029735
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,Castaños,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05006",17.31813641
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,Cuatro Ciénegas,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05007",44.35570374
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,Escobedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05008",35.62992126
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,Francisco I. Madero,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05009",27.54789621
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,Frontera,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05010",13.70955443
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,General Cepeda,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05011",52.38680232
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,Guerrero,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05012",39.6969697
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,Hidalgo,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05013",37.7914952
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,Jiménez,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05014",42.31046931
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,Juárez,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05015",35.5736592
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,Lamadrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05016",24.64741437
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,Matamoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05017",32.76994195
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,Monclova,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05018",9.077836372
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,Morelos,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05019",17.82692091
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,Múzquiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05020",6.287656628
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,Nadadores,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05021",36.03016798
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,Nava,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05022",9.715201236
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,Ocampo,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05023",44.64622386
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,Parras,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05024",32.66423876
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,Piedras Negras,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05025",8.131438008
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,Progreso,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05026",37.69666457
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,Ramos Arizpe,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05027",18.88601215
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,Sabinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05028",15.55246065
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,Sacramento,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05029",33.51092168
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,Saltillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05030",14.78482991
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,San Buenaventura,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05031",17.68678042
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,San Juan de Sabinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05032",11.21020208
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,San Pedro,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05033",42.890072
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,Sierra Mojada,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05034",21.00276352
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,Torreón,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05035",31.34246974
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,Viesca,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05036",44.83457074
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,Villa Unión,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05037",21.23661346
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,Zaragoza,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	05038",13.36563953
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,Colima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	06",NA
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,,Armería,,,,,,,,,,,,,,,,,,,,,,,,,,,"	06001",23.46019893
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,,Colima,,,,,,,,,,,,,,,,,,,,,,,,,,,"	06002",7.673288312
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,,Comala,,,,,,,,,,,,,,,,,,,,,,,,,,,"	06003",23.826115
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,,Coquimatlán,,,,,,,,,,,,,,,,,,,,,,,,,,,"	06004",18.02642689
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,,Cuauhtémoc,,,,,,,,,,,,,,,,,,,,,,,,,,,"	06005",5.350468145
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,,Ixtlahuacán,,,,,,,,,,,,,,,,,,,,,,,,,,,"	06006",52.53175881
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,,Manzanillo,,,,,,,,,,,,,,,,,,,,,,,,,,,"	06007",27.61173103
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,,Minatitlán,,,,,,,,,,,,,,,,,,,,,,,,,,,"	06008",23.57571214
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,,Tecomán,,,,,,,,,,,,,,,,,,,,,,,,,,,"	06009",33.63626768
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,,Villa de Álvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,"	06010",10.92859495
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,Chiapas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"	07",NA
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,,,Acacoyagua,,,,,,,,,,,,,,,,,,,,,,,,,,"	07001",57.70669988
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,,,Acala,,,,,,,,,,,,,,,,,,,,,,,,,,"	07002",68.31352041
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,,,Acapetahua,,,,,,,,,,,,,,,,,,,,,,,,,,"	07003",22.61150897
2010,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico",,,,,,,,,,Altamirano,,,,,,,,,,,,,,,,,,,,,,,,,,"	07004",44.94542083
