Year,Entidad federativa,"Población con acceso al agua entubada y al saneamiento",GeoCode,Value
2018,"Sonora","Total",26,81.2794034382478
2016,"Sonora","Total",26,83.8433887381061
2020,"Sonora","Hombres",26,79.8136460253002
2018,"Sonora","Hombres",26,80.3127564372685
2016,"Sonora","Hombres",26,83.7464913221997
2020,"Sonora","Mujeres",26,80.6678963834617
2018,"Sonora","Mujeres",26,82.2342208384335
2016,"Sonora","Mujeres",26,83.9395595540888
2020,"Sonora","Hablantes de lengua indígena",26,32.8474634174116
2018,"Sonora","Hablantes de lengua indígena",26,44.355857129394
2016,"Sonora","Hablantes de lengua indígena",26,40.8924800293821
2020,"Sonora","Población con alguna discapacidad",26,79.9479617552567
2018,"Sonora","Población con alguna discapacidad",26,80.2102536893317
2016,"Sonora","Población con alguna discapacidad",26,81.7076729613142
2020,"Sonora","Cambio de residencia",26,
2018,"Sonora","Cambio de residencia",26,
2016,"Sonora","Cambio de residencia",26,
2020,"Tabasco","Total",27,59.2692550322125
2018,"Tabasco","Total",27,64.4551317545834
2016,"Tabasco","Total",27,61.8407509104511
2020,"Tabasco","Hombres",27,58.6867812750121
2018,"Tabasco","Hombres",27,64.2193506529093
2016,"Tabasco","Hombres",27,62.593950624298
2020,"Tabasco","Mujeres",27,59.8157579725354
2018,"Tabasco","Mujeres",27,64.6712033937159
2016,"Tabasco","Mujeres",27,61.1157292499264
2020,"Tabasco","Hablantes de lengua indígena",27,
2018,"Tabasco","Hablantes de lengua indígena",27,60.2488831071019
2016,"Tabasco","Hablantes de lengua indígena",27,51.0487612598059
2020,"Tabasco","Población con alguna discapacidad",27,51.7045213844357
2018,"Tabasco","Población con alguna discapacidad",27,62.9672315650499
2016,"Tabasco","Población con alguna discapacidad",27,61.3012366563972
2020,"Tabasco","Cambio de residencia",27,
2018,"Tabasco","Cambio de residencia",27,
2016,"Tabasco","Cambio de residencia",27,
2020,"Tamaulipas","Total",28,82.2590862379533
2018,"Tamaulipas","Total",28,83.4655969028285
2016,"Tamaulipas","Total",28,82.8201833790808
