Year,Entidad federativa,"Violencia en mujeres por edad",GeoCode,Value
2021,"Morelos","De 65 años y más",17,0
2016,"Morelos","De 65 años y más",17,0
2021,"Morelos","Edad no especificada en mujeres de 15 años y más",17,
2016,"Morelos","Edad no especificada en mujeres de 15 años y más",17,
2021,"Nayarit","Total",18,20.7127378513967
2016,"Nayarit","Total",18,14.058147632312
2021,"Nayarit","De 15 a 24 años",18,22.8522687236923
2016,"Nayarit","De 15 a 24 años",18,15.2773246329527
2021,"Nayarit","De 25 a 64 años",18,10.8713692946058
2016,"Nayarit","De 25 a 64 años",18,10.2945078270098
2021,"Nayarit","De 65 años y más",18,100
2016,"Nayarit","De 65 años y más",18,0
2021,"Nayarit","Edad no especificada en mujeres de 15 años y más",18,
2016,"Nayarit","Edad no especificada en mujeres de 15 años y más",18,
2021,"Nuevo León","Total",19,19.0842712229863
2016,"Nuevo León","Total",19,17.3430959063044
2021,"Nuevo León","De 15 a 24 años",19,21.0765391741085
2016,"Nuevo León","De 15 a 24 años",19,19.6334848496952
2021,"Nuevo León","De 25 a 64 años",19,10.1531905090993
2016,"Nuevo León","De 25 a 64 años",19,9.23275422330243
2021,"Nuevo León","De 65 años y más",19,0
2016,"Nuevo León","De 65 años y más",19,0
2021,"Nuevo León","Edad no especificada en mujeres de 15 años y más",19,
2016,"Nuevo León","Edad no especificada en mujeres de 15 años y más",19,0
2021,"Oaxaca","Total",20,15.4593562434143
2016,"Oaxaca","Total",20,17.8460371634433
2021,"Oaxaca","De 15 a 24 años",20,16.7507801109638
2016,"Oaxaca","De 15 a 24 años",20,22.4987908862638
2021,"Oaxaca","De 25 a 64 años",20,5.76465927099841
2016,"Oaxaca","De 25 a 64 años",20,6.4844436632097
2021,"Oaxaca","De 65 años y más",20,
2016,"Oaxaca","De 65 años y más",20,0
2021,"Oaxaca","Edad no especificada en mujeres de 15 años y más",20,
2016,"Oaxaca","Edad no especificada en mujeres de 15 años y más",20,
2021,"Puebla","Total",21,15.7801874559879
2016,"Puebla","Total",21,17.469243832562
2021,"Puebla","De 15 a 24 años",21,17.1305627185142
2016,"Puebla","De 15 a 24 años",21,19.7328262681796
2021,"Puebla","De 25 a 64 años",21,10.0293907137527
2016,"Puebla","De 25 a 64 años",21,10.8398930400885
2021,"Puebla","De 65 años y más",21,0
2016,"Puebla","De 65 años y más",21,0
2021,"Puebla","Edad no especificada en mujeres de 15 años y más",21,
2016,"Puebla","Edad no especificada en mujeres de 15 años y más",21,
2021,"Querétaro","Total",22,29.4292760517752
2016,"Querétaro","Total",22,18.7657439980024
2021,"Querétaro","De 15 a 24 años",22,34.1192384769539
2016,"Querétaro","De 15 a 24 años",22,22.466597208705895
2021,"Querétaro","De 25 a 64 años",22,15.7324041811847
2016,"Querétaro","De 25 a 64 años",22,11.1001119049669
2021,"Querétaro","De 65 años y más",22,0
2016,"Querétaro","De 65 años y más",22,0
2021,"Querétaro","Edad no especificada en mujeres de 15 años y más",22,100
2016,"Querétaro","Edad no especificada en mujeres de 15 años y más",22,100
2021,"Quintana Roo","Total",23,20.4993280264654
2016,"Quintana Roo","Total",23,18.2360126536024
2021,"Quintana Roo","De 15 a 24 años",23,23.4104158822078
2016,"Quintana Roo","De 15 a 24 años",23,19.87401403766
2021,"Quintana Roo","De 25 a 64 años",23,9.30774006622517
2016,"Quintana Roo","De 25 a 64 años",23,13.0178604308599
2021,"Quintana Roo","De 65 años y más",23,0
2016,"Quintana Roo","De 65 años y más",23,0
2021,"Quintana Roo","Edad no especificada en mujeres de 15 años y más",23,
2016,"Quintana Roo","Edad no especificada en mujeres de 15 años y más",23,
2021,"San Luis Potosí","Total",24,13.2228658932983
2016,"San Luis Potosí","Total",24,13.0496741491673
2021,"San Luis Potosí","De 15 a 24 años",24,14.2208309206717
2016,"San Luis Potosí","De 15 a 24 años",24,15.206469288262403
2021,"San Luis Potosí","De 25 a 64 años",24,9.57490103222465
2016,"San Luis Potosí","De 25 a 64 años",24,8.71324917166464
2021,"San Luis Potosí","De 65 años y más",24,0
2016,"San Luis Potosí","De 65 años y más",24,0
2021,"San Luis Potosí","Edad no especificada en mujeres de 15 años y más",24,
2016,"San Luis Potosí","Edad no especificada en mujeres de 15 años y más",24,
2021,"Sinaloa","Total",25,14.369311519347798
2016,"Sinaloa","Total",25,16.3413502884365
2021,"Sinaloa","De 15 a 24 años",25,14.8843979099732
2016,"Sinaloa","De 15 a 24 años",25,17.9058866347475
2021,"Sinaloa","De 25 a 64 años",25,12.097517669956
2016,"Sinaloa","De 25 a 64 años",25,10.2372822375432
2021,"Sinaloa","De 65 años y más",25,0
2016,"Sinaloa","De 65 años y más",25,35.4700854700855
2021,"Sinaloa","Edad no especificada en mujeres de 15 años y más",25,
2016,"Sinaloa","Edad no especificada en mujeres de 15 años y más",25,
2021,"Sonora","Total",26,18.0803795142485
2016,"Sonora","Total",26,14.2799764512988
2021,"Sonora","De 15 a 24 años",26,20.0572327555809
2016,"Sonora","De 15 a 24 años",26,15.0255895698049
2021,"Sonora","De 25 a 64 años",26,9.18322015612109
2016,"Sonora","De 25 a 64 años",26,9.20645826176572
2021,"Sonora","De 65 años y más",26,0
2016,"Sonora","De 65 años y más",26,
2021,"Sonora","Edad no especificada en mujeres de 15 años y más",26,
2016,"Sonora","Edad no especificada en mujeres de 15 años y más",26,
2021,"Tabasco","Total",27,21.0630282984197
2016,"Tabasco","Total",27,13.8228973367855
2021,"Tabasco","De 15 a 24 años",27,22.5803922934885
2016,"Tabasco","De 15 a 24 años",27,15.308275229184199
2021,"Tabasco","De 25 a 64 años",27,10.1452985982206
2016,"Tabasco","De 25 a 64 años",27,8.78667985492911
2021,"Tabasco","De 65 años y más",27,0
2016,"Tabasco","De 65 años y más",27,0
2021,"Tabasco","Edad no especificada en mujeres de 15 años y más",27,
2016,"Tabasco","Edad no especificada en mujeres de 15 años y más",27,
2021,"Tamaulipas","Total",28,18.5579503159353
2016,"Tamaulipas","Total",28,17.0865628175765
2021,"Tamaulipas","De 15 a 24 años",28,19.4593710432733
2016,"Tamaulipas","De 15 a 24 años",28,18.3694335049985
2021,"Tamaulipas","De 25 a 64 años",28,11.3774951790275
2016,"Tamaulipas","De 25 a 64 años",28,12.928752619389
2021,"Tamaulipas","De 65 años y más",28,0
2016,"Tamaulipas","De 65 años y más",28,0
2021,"Tamaulipas","Edad no especificada en mujeres de 15 años y más",28,
2016,"Tamaulipas","Edad no especificada en mujeres de 15 años y más",28,
2021,"Tlaxcala","Total",29,22.986427550484404
2016,"Tlaxcala","Total",29,15.906333860235998
2021,"Tlaxcala","De 15 a 24 años",29,24.940095563527098
2016,"Tlaxcala","De 15 a 24 años",29,17.0730987246103
2021,"Tlaxcala","De 25 a 64 años",29,11.6043539990535
2016,"Tlaxcala","De 25 a 64 años",29,10.8762490392006
2021,"Tlaxcala","De 65 años y más",29,0
2016,"Tlaxcala","De 65 años y más",29,0
2021,"Tlaxcala","Edad no especificada en mujeres de 15 años y más",29,0
2016,"Tlaxcala","Edad no especificada en mujeres de 15 años y más",29,
2021,"Veracruz de Ignacio de la Llave","Total",30,24.0602717910311
2016,"Veracruz de Ignacio de la Llave","Total",30,18.4809267859938
2021,"Veracruz de Ignacio de la Llave","De 15 a 24 años",30,26.2531089978054
2016,"Veracruz de Ignacio de la Llave","De 15 a 24 años",30,21.846175999232
2021,"Veracruz de Ignacio de la Llave","De 25 a 64 años",30,10.988798015427
2016,"Veracruz de Ignacio de la Llave","De 25 a 64 años",30,8.21442377904729
2021,"Veracruz de Ignacio de la Llave","De 65 años y más",30,
2016,"Veracruz de Ignacio de la Llave","De 65 años y más",30,8.66568914956012
2021,"Veracruz de Ignacio de la Llave","Edad no especificada en mujeres de 15 años y más",30,
2016,"Veracruz de Ignacio de la Llave","Edad no especificada en mujeres de 15 años y más",30,
2021,"Yucatán","Total",31,24.817770275454603
2016,"Yucatán","Total",31,17.1427930084999
2021,"Yucatán","De 15 a 24 años",31,27.830284141504098
2016,"Yucatán","De 15 a 24 años",31,19.7908129051486
2021,"Yucatán","De 25 a 64 años",31,15.918729657757202
2016,"Yucatán","De 25 a 64 años",31,6.56994900581097
2021,"Yucatán","De 65 años y más",31,0
2016,"Yucatán","De 65 años y más",31,0
2021,"Yucatán","Edad no especificada en mujeres de 15 años y más",31,
2016,"Yucatán","Edad no especificada en mujeres de 15 años y más",31,
2021,"Zacatecas","Total",32,24.0243393187377
2016,"Zacatecas","Total",32,20.2387707644892
2021,"Zacatecas","De 15 a 24 años",32,27.2687334338893
2016,"Zacatecas","De 15 a 24 años",32,26.2176571583481
2021,"Zacatecas","De 25 a 64 años",32,10.0892381459776
2016,"Zacatecas","De 25 a 64 años",32,3.65164604249358
2021,"Zacatecas","De 65 años y más",32,0
2016,"Zacatecas","De 65 años y más",32,0
2021,"Zacatecas","Edad no especificada en mujeres de 15 años y más",32,
2016,"Zacatecas","Edad no especificada en mujeres de 15 años y más",32,
