Year,Series,Entidad federativa,Municipios,Sexo,Poblaciones,GeoCode,Value
2010,Censo de Población y Vivienda,Guanajuato,,,,11,97.87306183
2010,Censo de Población y Vivienda,Guanajuato,,,,11,0
2010,Censo de Población y Vivienda,Guanajuato,,,Hablantes de lengua indigena,11,98.56671811
2020,Censo de Población y Vivienda,Guanajuato,,Total,Discapacidad,11,99.41924228
2020,Censo de Población y Vivienda,Guanajuato,,Hombres,Afromexicana o afrodescendiente,11,99.37589845
2020,Censo de Población y Vivienda,Guanajuato,,Mujeres,Residentes en otra entidad 5 años atrás,11,99.46001961
2020,Censo de Población y Vivienda,Guanajuato,,,,11,98.06239988
2020,Censo de Población y Vivienda,Guanajuato,,,,11,99.34906914
2020,Censo de Población y Vivienda,Guanajuato,,,,11,99.62969445
2020,Censo de Población y Vivienda,Guanajuato,,,Hablantes de lengua indigena,11,99.67301421
2010,Censo de Población y Vivienda,Guerrero,,Total,Discapacidad,12,95.15254905
2010,Censo de Población y Vivienda,Guerrero,,Hombres,Afromexicana o afrodescendiente,12,95.00771974
2010,Censo de Población y Vivienda,Guerrero,,Mujeres,Residentes en otra entidad 5 años atrás,12,95.28876643
2010,Censo de Población y Vivienda,Guerrero,,,,12,86.43
2010,Censo de Población y Vivienda,Guerrero,,,,12,95.61146236
2010,Censo de Población y Vivienda,Guerrero,,,,12,0
2010,Censo de Población y Vivienda,Guerrero,,,Hablantes de lengua indigena,12,97.5660772
2020,Censo de Población y Vivienda,Guerrero,,Total,Discapacidad,12,98.1767958
2020,Censo de Población y Vivienda,Guerrero,,Hombres,Afromexicana o afrodescendiente,12,98.07946105
2020,Censo de Población y Vivienda,Guerrero,,Mujeres,Residentes en otra entidad 5 años atrás,12,98.26644652
2020,Censo de Población y Vivienda,Guerrero,,,,12,95.33907474
2020,Censo de Población y Vivienda,Guerrero,,,,12,98.2906707
2020,Censo de Población y Vivienda,Guerrero,,,,12,98.9263005
2020,Censo de Población y Vivienda,Guerrero,,,Hablantes de lengua indigena,12,99.00779589
2010,Censo de Población y Vivienda,Hidalgo,,Total,Discapacidad,13,97.28198707
2010,Censo de Población y Vivienda,Hidalgo,,Hombres,Afromexicana o afrodescendiente,13,97.1490783
2010,Censo de Población y Vivienda,Hidalgo,,Mujeres,Residentes en otra entidad 5 años atrás,13,97.40547438
2010,Censo de Población y Vivienda,Hidalgo,,,,13,95.18
2010,Censo de Población y Vivienda,Hidalgo,,,,13,95.78726255
2010,Censo de Población y Vivienda,Hidalgo,,,,13,0
2010,Censo de Población y Vivienda,Hidalgo,,,Hablantes de lengua indigena,13,98.10865556
2020,Censo de Población y Vivienda,Hidalgo,,Total,Discapacidad,13,99.25697982
2020,Censo de Población y Vivienda,Hidalgo,,Hombres,Afromexicana o afrodescendiente,13,99.1823849
2020,Censo de Población y Vivienda,Hidalgo,,Mujeres,Residentes en otra entidad 5 años atrás,13,99.3257787
2020,Censo de Población y Vivienda,Hidalgo,,,,13,98.7117472
2020,Censo de Población y Vivienda,Hidalgo,,,,13,98.87390636
2020,Censo de Población y Vivienda,Hidalgo,,,,13,99.47830749
2020,Censo de Población y Vivienda,Hidalgo,,,Hablantes de lengua indigena,13,99.56800316
2010,Censo de Población y Vivienda,Jalisco,,Total,Discapacidad,14,99.01867383
2010,Censo de Población y Vivienda,Jalisco,,Hombres,Afromexicana o afrodescendiente,14,98.95977483
2010,Censo de Población y Vivienda,Jalisco,,Mujeres,Residentes en otra entidad 5 años atrás,14,99.07489056
2010,Censo de Población y Vivienda,Jalisco,,,,14,77.76
2010,Censo de Población y Vivienda,Jalisco,,,,14,98.54731932
2010,Censo de Población y Vivienda,Jalisco,,,,14,0
2010,Censo de Población y Vivienda,Jalisco,,,Hablantes de lengua indigena,14,98.96215923
2020,Censo de Población y Vivienda,Jalisco,,Total,Discapacidad,14,99.07843312
2020,Censo de Población y Vivienda,Jalisco,,Hombres,Afromexicana o afrodescendiente,14,99.03432467
2020,Censo de Población y Vivienda,Jalisco,,Mujeres,Residentes en otra entidad 5 años atrás,14,99.12074318
2020,Censo de Población y Vivienda,Jalisco,,,,14,87.91998954
2020,Censo de Población y Vivienda,Jalisco,,,,14,99.4881193
2020,Censo de Población y Vivienda,Jalisco,,,,14,99.54713366
2020,Censo de Población y Vivienda,Jalisco,,,Hablantes de lengua indigena,14,99.6615291
2010,Censo de Población y Vivienda,México,,Total,Discapacidad,15,98.96721934
2010,Censo de Población y Vivienda,México,,Hombres,Afromexicana o afrodescendiente,15,98.94590717
2010,Censo de Población y Vivienda,México,,Mujeres,Residentes en otra entidad 5 años atrás,15,98.9874191
2010,Censo de Población y Vivienda,México,,,,15,96.7
2010,Censo de Población y Vivienda,México,,,,15,98.60038135
2010,Censo de Población y Vivienda,México,,,,15,0
2010,Censo de Población y Vivienda,México,,,Hablantes de lengua indigena,15,99.04316921
2020,Censo de Población y Vivienda,México,,Total,Discapacidad,15,99.67045032
2020,Censo de Población y Vivienda,México,,Hombres,Afromexicana o afrodescendiente,15,99.65071013
2020,Censo de Población y Vivienda,México,,Mujeres,Residentes en otra entidad 5 años atrás,15,99.68902361
2020,Censo de Población y Vivienda,México,,,,15,99.08311215
2020,Censo de Población y Vivienda,México,,,,15,99.57430597
2020,Censo de Población y Vivienda,México,,,,15,99.69657769
2020,Censo de Población y Vivienda,México,,,Hablantes de lengua indigena,15,99.72228672
2010,Censo de Población y Vivienda,Michoacán de Ocampo,,Total,Discapacidad,16,98.05285507
2010,Censo de Población y Vivienda,Michoacán de Ocampo,,Hombres,Afromexicana o afrodescendiente,16,97.93542314
2010,Censo de Población y Vivienda,Michoacán de Ocampo,,Mujeres,Residentes en otra entidad 5 años atrás,16,98.16216878
2010,Censo de Población y Vivienda,Michoacán de Ocampo,,,,16,95.23
2010,Censo de Población y Vivienda,Michoacán de Ocampo,,,,16,97.70785837
2010,Censo de Población y Vivienda,Michoacán de Ocampo,,,,16,0
2010,Censo de Población y Vivienda,Michoacán de Ocampo,,,Hablantes de lengua indigena,16,98.20825097
2020,Censo de Población y Vivienda,Michoacán de Ocampo,,Total,Discapacidad,16,99.43020812
2020,Censo de Población y Vivienda,Michoacán de Ocampo,,Hombres,Afromexicana o afrodescendiente,16,99.37182719
2020,Censo de Población y Vivienda,Michoacán de Ocampo,,Mujeres,Residentes en otra entidad 5 años atrás,16,99.4851562
2020,Censo de Población y Vivienda,Michoacán de Ocampo,,,,16,98.32709505
2020,Censo de Población y Vivienda,Michoacán de Ocampo,,,,16,99.32308676
2020,Censo de Población y Vivienda,Michoacán de Ocampo,,,,16,99.48448661
2020,Censo de Población y Vivienda,Michoacán de Ocampo,,,Hablantes de lengua indigena,16,99.46219657
2010,Censo de Población y Vivienda,Morelos,,Total,Discapacidad,17,99.01080493
2010,Censo de Población y Vivienda,Morelos,,Hombres,Afromexicana o afrodescendiente,17,98.932715
2010,Censo de Población y Vivienda,Morelos,,Mujeres,Residentes en otra entidad 5 años atrás,17,99.08347791
2010,Censo de Población y Vivienda,Morelos,,,,17,96.91
2010,Censo de Población y Vivienda,Morelos,,,,17,98.49590658
2010,Censo de Población y Vivienda,Morelos,,,,17,0
2010,Censo de Población y Vivienda,Morelos,,,Hablantes de lengua indigena,17,98.07471863
2020,Censo de Población y Vivienda,Morelos,,Total,Discapacidad,17,99.65363679
2020,Censo de Población y Vivienda,Morelos,,Hombres,Afromexicana o afrodescendiente,17,99.60517997
2020,Censo de Población y Vivienda,Morelos,,Mujeres,Residentes en otra entidad 5 años atrás,17,99.69866514
2020,Censo de Población y Vivienda,Morelos,,,,17,98.51261979
2020,Censo de Población y Vivienda,Morelos,,,,17,99.48008533
2020,Censo de Población y Vivienda,Morelos,,,,17,99.77190749
2020,Censo de Población y Vivienda,Morelos,,,Hablantes de lengua indigena,17,99.46373684
2010,Censo de Población y Vivienda,Nayarit,,Total,Discapacidad,18,96.15666709
2010,Censo de Población y Vivienda,Nayarit,,Hombres,Afromexicana o afrodescendiente,18,95.99223733
2010,Censo de Población y Vivienda,Nayarit,,Mujeres,Residentes en otra entidad 5 años atrás,18,96.31841349
2010,Censo de Población y Vivienda,Nayarit,,,,18,52.24
2010,Censo de Población y Vivienda,Nayarit,,,,18,97.09123607
2010,Censo de Población y Vivienda,Nayarit,,,,18,0
2010,Censo de Población y Vivienda,Nayarit,,,Hablantes de lengua indigena,18,98.76466955
2020,Censo de Población y Vivienda,Nayarit,,Total,Discapacidad,18,97.77332157
2020,Censo de Población y Vivienda,Nayarit,,Hombres,Afromexicana o afrodescendiente,18,97.67485014
2020,Censo de Población y Vivienda,Nayarit,,Mujeres,Residentes en otra entidad 5 años atrás,18,97.86930969
2020,Censo de Población y Vivienda,Nayarit,,,,18,73.74479699
2020,Censo de Población y Vivienda,Nayarit,,,,18,98.28139085
2020,Censo de Población y Vivienda,Nayarit,,,,18,98.75886525
2020,Censo de Población y Vivienda,Nayarit,,,Hablantes de lengua indigena,18,99.12205964
2010,Censo de Población y Vivienda,Nuevo León,,Total,Discapacidad,19,98.69150725
2010,Censo de Población y Vivienda,Nuevo León,,Hombres,Afromexicana o afrodescendiente,19,98.62621747
2010,Censo de Población y Vivienda,Nuevo León,,Mujeres,Residentes en otra entidad 5 años atrás,19,98.75626637
2010,Censo de Población y Vivienda,Nuevo León,,,,19,99.17
2010,Censo de Población y Vivienda,Nuevo León,,,,19,99.07373253
2010,Censo de Población y Vivienda,Nuevo León,,,,19,0
2010,Censo de Población y Vivienda,Nuevo León,,,Hablantes de lengua indigena,19,99.41299886
2020,Censo de Población y Vivienda,Nuevo León,,Total,Discapacidad,19,99.55805631
2020,Censo de Población y Vivienda,Nuevo León,,Hombres,Afromexicana o afrodescendiente,19,99.53249763
2020,Censo de Población y Vivienda,Nuevo León,,Mujeres,Residentes en otra entidad 5 años atrás,19,99.58353985
2020,Censo de Población y Vivienda,Nuevo León,,,,19,99.80146196
2020,Censo de Población y Vivienda,Nuevo León,,,,19,99.73063356
2020,Censo de Población y Vivienda,Nuevo León,,,,19,99.88394783
2020,Censo de Población y Vivienda,Nuevo León,,,Hablantes de lengua indigena,19,99.79730176
2010,Censo de Población y Vivienda,Oaxaca,,Total,Discapacidad,20,94.69809471
2010,Censo de Población y Vivienda,Oaxaca,,Hombres,Afromexicana o afrodescendiente,20,94.54608819
2010,Censo de Población y Vivienda,Oaxaca,,Mujeres,Residentes en otra entidad 5 años atrás,20,94.8371607
2010,Censo de Población y Vivienda,Oaxaca,,,,20,91.27
2010,Censo de Población y Vivienda,Oaxaca,,,,20,93.95916425
2010,Censo de Población y Vivienda,Oaxaca,,,,20,0
2010,Censo de Población y Vivienda,Oaxaca,,,Hablantes de lengua indigena,20,95.43809353
2020,Censo de Población y Vivienda,Oaxaca,,Total,Discapacidad,20,97.84399708
2020,Censo de Población y Vivienda,Oaxaca,,Hombres,Afromexicana o afrodescendiente,20,97.70206593
2020,Censo de Población y Vivienda,Oaxaca,,Mujeres,Residentes en otra entidad 5 años atrás,20,97.97347043
2020,Censo de Población y Vivienda,Oaxaca,,,,20,96.80601443
2020,Censo de Población y Vivienda,Oaxaca,,,,20,97.75136749
2020,Censo de Población y Vivienda,Oaxaca,,,,20,98.51553222
2020,Censo de Población y Vivienda,Oaxaca,,,Hablantes de lengua indigena,20,98.05885509
2010,Censo de Población y Vivienda,Puebla,,Total,Discapacidad,21,97.97435373
2010,Censo de Población y Vivienda,Puebla,,Hombres,Afromexicana o afrodescendiente,21,97.90842677
2010,Censo de Población y Vivienda,Puebla,,Mujeres,Residentes en otra entidad 5 años atrás,21,98.03481435
2010,Censo de Población y Vivienda,Puebla,,,,21,94.22
2010,Censo de Población y Vivienda,Puebla,,,,21,97.4789765
2010,Censo de Población y Vivienda,Puebla,,,,21,0
2010,Censo de Población y Vivienda,Puebla,,,Hablantes de lengua indigena,21,98.18847923
2020,Censo de Población y Vivienda,Puebla,,Total,Discapacidad,21,99.296111
2020,Censo de Población y Vivienda,Puebla,,Hombres,Afromexicana o afrodescendiente,21,99.24571868
2020,Censo de Población y Vivienda,Puebla,,Mujeres,Residentes en otra entidad 5 años atrás,21,99.3425291
2020,Censo de Población y Vivienda,Puebla,,,,21,98.18960788
2020,Censo de Población y Vivienda,Puebla,,,,21,99.08433364
2020,Censo de Población y Vivienda,Puebla,,,,21,99.46694157
2020,Censo de Población y Vivienda,Puebla,,,Hablantes de lengua indigena,21,99.35727627
2010,Censo de Población y Vivienda,Querétaro,,Total,Discapacidad,22,97.79044018
2010,Censo de Población y Vivienda,Querétaro,,Hombres,Afromexicana o afrodescendiente,22,97.70599539
2010,Censo de Población y Vivienda,Querétaro,,Mujeres,Residentes en otra entidad 5 años atrás,22,97.86989
2010,Censo de Población y Vivienda,Querétaro,,,,22,90.12
2010,Censo de Población y Vivienda,Querétaro,,,,22,96.62187694
2010,Censo de Población y Vivienda,Querétaro,,,,22,0
2010,Censo de Población y Vivienda,Querétaro,,,Hablantes de lengua indigena,22,98.98293823
2020,Censo de Población y Vivienda,Querétaro,,Total,Discapacidad,22,99.23537376
2020,Censo de Población y Vivienda,Querétaro,,Hombres,Afromexicana o afrodescendiente,22,99.19489276
2020,Censo de Población y Vivienda,Querétaro,,Mujeres,Residentes en otra entidad 5 años atrás,22,99.27393171
2020,Censo de Población y Vivienda,Querétaro,,,,22,96.52162752
2020,Censo de Población y Vivienda,Querétaro,,,,22,99.06089508
2020,Censo de Población y Vivienda,Querétaro,,,,22,99.7782449
2020,Censo de Población y Vivienda,Querétaro,,,Hablantes de lengua indigena,22,99.77278218
2010,Censo de Población y Vivienda,Quintana Roo,,Total,Discapacidad,23,96.84731969
2010,Censo de Población y Vivienda,Quintana Roo,,Hombres,Afromexicana o afrodescendiente,23,96.57896252
2010,Censo de Población y Vivienda,Quintana Roo,,Mujeres,Residentes en otra entidad 5 años atrás,23,97.12304476
2010,Censo de Población y Vivienda,Quintana Roo,,,,23,95.49
2010,Censo de Población y Vivienda,Quintana Roo,,,,23,96.92539563
2010,Censo de Población y Vivienda,Quintana Roo,,,,23,0
2010,Censo de Población y Vivienda,Quintana Roo,,,Hablantes de lengua indigena,23,97.88517523
2020,Censo de Población y Vivienda,Quintana Roo,,Total,Discapacidad,23,98.04724173
2020,Censo de Población y Vivienda,Quintana Roo,,Hombres,Afromexicana o afrodescendiente,23,97.96436593
