Year,Entidad federativa,Unidades económicas víctimas,GeoCode,Value
2013,Estados Unidos Mexicanos,Sector económico Servicios,0,28.9073041955597
2011,Estados Unidos Mexicanos,Sector económico Servicios,0,32.674027304853
2021,Aguascalientes,Total,1,28.26948075
2019,Aguascalientes,Total,1,48.33066933520329
2017,Aguascalientes,Total,1,44.1889642671525
2015,Aguascalientes,Total,1,42.4008378995681
2013,Aguascalientes,Total,1,35.2168009159393
2011,Aguascalientes,Total,1,39.9078487789507
2021,Aguascalientes,Tamaño Micro,1,27.10555295
2019,Aguascalientes,Tamaño Micro,1,47.4378179036938
2017,Aguascalientes,Tamaño Micro,1,43.62606232294619
2015,Aguascalientes,Tamaño Micro,1,41.5349887133183
2013,Aguascalientes,Tamaño Micro,1,34.5132743362832
2011,Aguascalientes,Tamaño Micro,1,39.1061452513967
2021,Aguascalientes,Tamaño Pequeña,1,40.30004747
2019,Aguascalientes,Tamaño Pequeña,1,62.9172149168943
2017,Aguascalientes,Tamaño Pequeña,1,51.04166666666671
2015,Aguascalientes,Tamaño Pequeña,1,56.9620253164557
2013,Aguascalientes,Tamaño Pequeña,1,44.6700507614213
2011,Aguascalientes,Tamaño Pequeña,1,47.7810780359119
2021,Aguascalientes,Tamaño Mediana,1,53.55042278
2019,Aguascalientes,Tamaño Mediana,1,58.547439520189606
2017,Aguascalientes,Tamaño Mediana,1,63.0
2015,Aguascalientes,Tamaño Mediana,1,58.0952380952381
2013,Aguascalientes,Tamaño Mediana,1,50.6849315068493
2011,Aguascalientes,Tamaño Mediana,1,70.3125
2021,Aguascalientes,Tamaño Grande,1,52.89537109
2019,Aguascalientes,Tamaño Grande,1,63.61044222757331
2017,Aguascalientes,Tamaño Grande,1,75.3424657534246
2015,Aguascalientes,Tamaño Grande,1,63.51351351351351
2013,Aguascalientes,Tamaño Grande,1,62.7118644067797
2011,Aguascalientes,Tamaño Grande,1,71.9101123595506
2021,Aguascalientes,Sector económico Comercio,1,36.81058334
2019,Aguascalientes,Sector económico Comercio,1,55.7022283873784
2017,Aguascalientes,Sector económico Comercio,1,49.8244532227614
2015,Aguascalientes,Sector económico Comercio,1,48.9234989308007
2013,Aguascalientes,Sector económico Comercio,1,44.2949028164908
2011,Aguascalientes,Sector económico Comercio,1,46.6334347706977
2021,Aguascalientes,Sector económico Industria,1,24.05407722
2019,Aguascalientes,Sector económico Industria,1,41.5892319378848
2017,Aguascalientes,Sector económico Industria,1,51.18953081686211
2015,Aguascalientes,Sector económico Industria,1,32.936121936125
2013,Aguascalientes,Sector económico Industria,1,33.9497378605099
2011,Aguascalientes,Sector económico Industria,1,53.7233699429799
2021,Aguascalientes,Sector económico Servicios,1,21.18196136
2019,Aguascalientes,Sector económico Servicios,1,43.0762860928231
2017,Aguascalientes,Sector económico Servicios,1,36.0944172483467
2015,Aguascalientes,Sector económico Servicios,1,38.061454908534
2013,Aguascalientes,Sector económico Servicios,1,26.0558066075081
2011,Aguascalientes,Sector económico Servicios,1,28.728193940421203
2021,Baja California,Total,2,30.75788838
2019,Baja California,Total,2,29.8335561343594
2017,Baja California,Total,2,41.0210501863156
2015,Baja California,Total,2,48.3661444589087
2013,Baja California,Total,2,44.8563859621998
2011,Baja California,Total,2,45.03888733892959
2021,Baja California,Tamaño Micro,2,28.91292106
2019,Baja California,Tamaño Micro,2,28.4453005201533
2017,Baja California,Tamaño Micro,2,39.8406374501992
2015,Baja California,Tamaño Micro,2,47.8260869565217
2013,Baja California,Tamaño Micro,2,43.33333333333329
2011,Baja California,Tamaño Micro,2,43.2748538011696
2021,Baja California,Tamaño Pequeña,2,44.14281502
2019,Baja California,Tamaño Pequeña,2,42.5809792688673
2017,Baja California,Tamaño Pequeña,2,53.37837837837841
2015,Baja California,Tamaño Pequeña,2,50.9433962264151
2013,Baja California,Tamaño Pequeña,2,61.788617886178905
2011,Baja California,Tamaño Pequeña,2,64.4736842105263
2021,Baja California,Tamaño Mediana,2,55.91473557
2019,Baja California,Tamaño Mediana,2,52.7355180280712
2017,Baja California,Tamaño Mediana,2,69.2307692307692
2015,Baja California,Tamaño Mediana,2,64.7619047619048
2013,Baja California,Tamaño Mediana,2,65.9340659340659
2011,Baja California,Tamaño Mediana,2,66.304347826087
2021,Baja California,Tamaño Grande,2,52.42628563
2019,Baja California,Tamaño Grande,2,49.6381279560766
2017,Baja California,Tamaño Grande,2,56.25
2015,Baja California,Tamaño Grande,2,67.5438596491228
2013,Baja California,Tamaño Grande,2,61.4457831325301
2011,Baja California,Tamaño Grande,2,66.6666666666667
2021,Baja California,Sector económico Comercio,2,35.21736406
2019,Baja California,Sector económico Comercio,2,36.9076760435052
2017,Baja California,Sector económico Comercio,2,49.9301006043985
2015,Baja California,Sector económico Comercio,2,57.9236152017713
2013,Baja California,Sector económico Comercio,2,53.1816959061234
2011,Baja California,Sector económico Comercio,2,54.0751483389438
2021,Baja California,Sector económico Industria,2,22.73565521
2019,Baja California,Sector económico Industria,2,28.253137964243496
2017,Baja California,Sector económico Industria,2,42.246115892095
2015,Baja California,Sector económico Industria,2,53.0218104923039
2013,Baja California,Sector económico Industria,2,32.2745862891539
2011,Baja California,Sector económico Industria,2,38.3310049466101
2021,Baja California,Sector económico Servicios,2,28.5492674
2019,Baja California,Sector económico Servicios,2,24.4264159255298
2017,Baja California,Sector económico Servicios,2,33.0738318382047
2015,Baja California,Sector económico Servicios,2,38.7948387740822
2013,Baja California,Sector económico Servicios,2,40.828906946166
2011,Baja California,Sector económico Servicios,2,38.3173272716893
2021,Baja California Sur,Total,3,25.994338710000005
2019,Baja California Sur,Total,3,31.325231952722092
2017,Baja California Sur,Total,3,36.7047431612447
2015,Baja California Sur,Total,3,33.0545261605022
2013,Baja California Sur,Total,3,33.7414679810034
2011,Baja California Sur,Total,3,39.4000469680641
2021,Baja California Sur,Tamaño Micro,3,24.897181150000005
2019,Baja California Sur,Tamaño Micro,3,30.4176363691604
2017,Baja California Sur,Tamaño Micro,3,35.9036144578313
2015,Baja California Sur,Tamaño Micro,3,31.9474835886214
2013,Baja California Sur,Tamaño Micro,3,33.2631578947368
2011,Baja California Sur,Tamaño Micro,3,38.4196185286103
2021,Baja California Sur,Tamaño Pequeña,3,35.00770661
2019,Baja California Sur,Tamaño Pequeña,3,43.706527277068
2017,Baja California Sur,Tamaño Pequeña,3,49.0740740740741
2015,Baja California Sur,Tamaño Pequeña,3,45.4918032786885
2013,Baja California Sur,Tamaño Pequeña,3,37.2881355932203
2011,Baja California Sur,Tamaño Pequeña,3,51.2396694214876
2021,Baja California Sur,Tamaño Mediana,3,45.91988679
2019,Baja California Sur,Tamaño Mediana,3,46.8233224688031
2017,Baja California Sur,Tamaño Mediana,3,48.6486486486487
2015,Baja California Sur,Tamaño Mediana,3,60.7142857142857
2013,Baja California Sur,Tamaño Mediana,3,53.7313432835821
2011,Baja California Sur,Tamaño Mediana,3,56.97683246030099
2021,Baja California Sur,Tamaño Grande,3,40.32665688
2019,Baja California Sur,Tamaño Grande,3,27.5412745191241
2017,Baja California Sur,Tamaño Grande,3,47.8260869565217
2015,Baja California Sur,Tamaño Grande,3,62.3529411764706
2013,Baja California Sur,Tamaño Grande,3,47.6190476190476
2011,Baja California Sur,Tamaño Grande,3,61.33333333333329
2021,Baja California Sur,Sector económico Comercio,3,25.66390763
2019,Baja California Sur,Sector económico Comercio,3,33.8539834012481
2017,Baja California Sur,Sector económico Comercio,3,43.1375042190892
2015,Baja California Sur,Sector económico Comercio,3,35.7895184774405
2013,Baja California Sur,Sector económico Comercio,3,38.6719819982376
2011,Baja California Sur,Sector económico Comercio,3,45.88287104714001
2021,Baja California Sur,Sector económico Industria,3,26.27044361
2019,Baja California Sur,Sector económico Industria,3,18.2067671073366
2017,Baja California Sur,Sector económico Industria,3,35.8299358733118
2015,Baja California Sur,Sector económico Industria,3,27.2768893131633
2013,Baja California Sur,Sector económico Industria,3,37.5836768880948
2011,Baja California Sur,Sector económico Industria,3,50.3546158574155
2021,Baja California Sur,Sector económico Servicios,3,26.19158157
2019,Baja California Sur,Sector económico Servicios,3,32.2078698080118
2017,Baja California Sur,Sector económico Servicios,3,31.662330489164003
2015,Baja California Sur,Sector económico Servicios,3,32.1377641140803
2013,Baja California Sur,Sector económico Servicios,3,27.843679076133
2011,Baja California Sur,Sector económico Servicios,3,29.496421947066903
2021,Campeche,Total,4,24.80462753
2019,Campeche,Total,4,30.0255523959652
2017,Campeche,Total,4,46.1311288459693
2015,Campeche,Total,4,38.9102656019628
2013,Campeche,Total,4,37.6222447373613
2011,Campeche,Total,4,30.2459915604214
2021,Campeche,Tamaño Micro,4,23.62371774
2019,Campeche,Tamaño Micro,4,28.9265828821987
2017,Campeche,Tamaño Micro,4,45.6331877729258
2015,Campeche,Tamaño Micro,4,37.7570093457944
2013,Campeche,Tamaño Micro,4,36.6894197952218
2011,Campeche,Tamaño Micro,4,29.3577981651376
2021,Campeche,Tamaño Pequeña,4,43.73873851
2019,Campeche,Tamaño Pequeña,4,55.049298753323306
2017,Campeche,Tamaño Pequeña,4,52.5974025974026
2015,Campeche,Tamaño Pequeña,4,60.10638297872341
2013,Campeche,Tamaño Pequeña,4,54.1871921182266
2011,Campeche,Tamaño Pequeña,4,45.73170731707321
2021,Campeche,Tamaño Mediana,4,51.57746548
2019,Campeche,Tamaño Mediana,4,60.8749272174419
2017,Campeche,Tamaño Mediana,4,72.8395061728395
2015,Campeche,Tamaño Mediana,4,68.75
2013,Campeche,Tamaño Mediana,4,55.5555555555556
2011,Campeche,Tamaño Mediana,4,56.1797752808989
2021,Campeche,Tamaño Grande,4,43.218786740000006
2019,Campeche,Tamaño Grande,4,44.7272821228328
2017,Campeche,Tamaño Grande,4,72.7272727272727
2015,Campeche,Tamaño Grande,4,68.8524590163934
2013,Campeche,Tamaño Grande,4,60.2739726027397
2011,Campeche,Tamaño Grande,4,55.384615384615394
2021,Campeche,Sector económico Comercio,4,30.52201928
2019,Campeche,Sector económico Comercio,4,33.9622357430095
2017,Campeche,Sector económico Comercio,4,53.4611435859976
2015,Campeche,Sector económico Comercio,4,47.305658570592605
2013,Campeche,Sector económico Comercio,4,39.1474635918477
2011,Campeche,Sector económico Comercio,4,28.941616388972005
2021,Campeche,Sector económico Industria,4,15.748501080000002
2019,Campeche,Sector económico Industria,4,21.3784808690947
2017,Campeche,Sector económico Industria,4,49.5240620210437
2015,Campeche,Sector económico Industria,4,32.0372879154504
2013,Campeche,Sector económico Industria,4,32.486491119538
2011,Campeche,Sector económico Industria,4,36.0381212513661
2021,Campeche,Sector económico Servicios,4,21.35394055
2019,Campeche,Sector económico Servicios,4,28.3230992062678
2017,Campeche,Sector económico Servicios,4,36.6294015334432
2015,Campeche,Sector económico Servicios,4,30.7648030033188
2013,Campeche,Sector económico Servicios,4,37.4108399631393
2011,Campeche,Sector económico Servicios,4,29.732502924343702
2021,Coahuila de Zaragoza,Total,5,19.92307461
2019,Coahuila de Zaragoza,Total,5,19.4254781092294
2017,Coahuila de Zaragoza,Total,5,21.9040278758876
2015,Coahuila de Zaragoza,Total,5,36.3719471341656
2013,Coahuila de Zaragoza,Total,5,28.374635597189705
2011,Coahuila de Zaragoza,Total,5,38.638846944391
2021,Coahuila de Zaragoza,Tamaño Micro,5,19.50546986
2019,Coahuila de Zaragoza,Tamaño Micro,5,18.2502027535491
2017,Coahuila de Zaragoza,Tamaño Micro,5,20.9302325581395
2015,Coahuila de Zaragoza,Tamaño Micro,5,35.0378787878788
2013,Coahuila de Zaragoza,Tamaño Micro,5,27.176220806794092
2011,Coahuila de Zaragoza,Tamaño Micro,5,36.9458128078818
2021,Coahuila de Zaragoza,Tamaño Pequeña,5,24.92062553
2019,Coahuila de Zaragoza,Tamaño Pequeña,5,33.8163132066826
2017,Coahuila de Zaragoza,Tamaño Pequeña,5,31.2138728323699
2015,Coahuila de Zaragoza,Tamaño Pequeña,5,54.625550660793
2013,Coahuila de Zaragoza,Tamaño Pequeña,5,41.40625
2011,Coahuila de Zaragoza,Tamaño Pequeña,5,59.7938144329897
2021,Coahuila de Zaragoza,Tamaño Mediana,5,21.30874813
2019,Coahuila de Zaragoza,Tamaño Mediana,5,41.4270265456327
2017,Coahuila de Zaragoza,Tamaño Mediana,5,47.8260869565217
2015,Coahuila de Zaragoza,Tamaño Mediana,5,53.6363636363636
2013,Coahuila de Zaragoza,Tamaño Mediana,5,58.1081081081081
2011,Coahuila de Zaragoza,Tamaño Mediana,5,70.0
2021,Coahuila de Zaragoza,Tamaño Grande,5,25.37919508
2019,Coahuila de Zaragoza,Tamaño Grande,5,43.529660882602094
2017,Coahuila de Zaragoza,Tamaño Grande,5,50.9677419354839
2015,Coahuila de Zaragoza,Tamaño Grande,5,54.8872180451128
2013,Coahuila de Zaragoza,Tamaño Grande,5,52.5773195876289
2011,Coahuila de Zaragoza,Tamaño Grande,5,57.9831932773109
2021,Coahuila de Zaragoza,Sector económico Comercio,5,22.10251329
2019,Coahuila de Zaragoza,Sector económico Comercio,5,23.3275434905331
2017,Coahuila de Zaragoza,Sector económico Comercio,5,25.0095318097981
2015,Coahuila de Zaragoza,Sector económico Comercio,5,41.1941482914933
2013,Coahuila de Zaragoza,Sector económico Comercio,5,29.7442324514449
2011,Coahuila de Zaragoza,Sector económico Comercio,5,42.3681938411223
2021,Coahuila de Zaragoza,Sector económico Industria,5,15.39080319
2019,Coahuila de Zaragoza,Sector económico Industria,5,13.0447290715792
2017,Coahuila de Zaragoza,Sector económico Industria,5,18.3954372833847
2015,Coahuila de Zaragoza,Sector económico Industria,5,33.9983676912081
2013,Coahuila de Zaragoza,Sector económico Industria,5,27.8308811835568
2011,Coahuila de Zaragoza,Sector económico Industria,5,47.94773039595359
2021,Coahuila de Zaragoza,Sector económico Servicios,5,18.89224831
2019,Coahuila de Zaragoza,Sector económico Servicios,5,17.1782136672175
2017,Coahuila de Zaragoza,Sector económico Servicios,5,19.4066071776466
2015,Coahuila de Zaragoza,Sector económico Servicios,5,31.044446834309
2013,Coahuila de Zaragoza,Sector económico Servicios,5,27.0161178110161
2011,Coahuila de Zaragoza,Sector económico Servicios,5,32.4579673124658
2021,Colima,Total,6,33.15767887
2019,Colima,Total,6,32.7744654581125
2017,Colima,Total,6,32.2288091990163
2015,Colima,Total,6,35.2865804051798
2013,Colima,Total,6,26.3232056981341
2011,Colima,Total,6,32.017224078329
2021,Colima,Tamaño Micro,6,31.74146052
2019,Colima,Tamaño Micro,6,31.2884194550839
2017,Colima,Tamaño Micro,6,31.0699588477366
2015,Colima,Tamaño Micro,6,34.4551282051282
2013,Colima,Tamaño Micro,6,25.0
2011,Colima,Tamaño Micro,6,30.7568438003221
2021,Colima,Tamaño Pequeña,6,51.2149513
2019,Colima,Tamaño Pequeña,6,58.4127908424584
2017,Colima,Tamaño Pequeña,6,52.9411764705882
2015,Colima,Tamaño Pequeña,6,46.6367713004484
2013,Colima,Tamaño Pequeña,6,46.7948717948718
2011,Colima,Tamaño Pequeña,6,50.0
2021,Colima,Tamaño Mediana,6,59.55035673
2019,Colima,Tamaño Mediana,6,61.7812051649928
2017,Colima,Tamaño Mediana,6,53.9473684210526
2015,Colima,Tamaño Mediana,6,65.7894736842105
2013,Colima,Tamaño Mediana,6,56.5217391304348
2011,Colima,Tamaño Mediana,6,66.0011915950771
2021,Colima,Tamaño Grande,6,58.77557595
2019,Colima,Tamaño Grande,6,55.2592298180534
2017,Colima,Tamaño Grande,6,67.2413793103448
2015,Colima,Tamaño Grande,6,65.0
2013,Colima,Tamaño Grande,6,48.0
2011,Colima,Tamaño Grande,6,62.0689655172414
2021,Colima,Sector económico Comercio,6,33.16486426
2019,Colima,Sector económico Comercio,6,39.114302660655
2017,Colima,Sector económico Comercio,6,40.314977501977
2015,Colima,Sector económico Comercio,6,38.2386189151587
2013,Colima,Sector económico Comercio,6,30.0720536262162
2011,Colima,Sector económico Comercio,6,35.0460621795886
2021,Colima,Sector económico Industria,6,38.83221985
2019,Colima,Sector económico Industria,6,22.1513224454401
2017,Colima,Sector económico Industria,6,32.5496637682108
2015,Colima,Sector económico Industria,6,40.9384831706293
2013,Colima,Sector económico Industria,6,27.767597499739896
2011,Colima,Sector económico Industria,6,36.5397045781858
2021,Colima,Sector económico Servicios,6,32.03473364
2019,Colima,Sector económico Servicios,6,29.983471671018595
2017,Colima,Sector económico Servicios,6,25.1096080047264
2015,Colima,Sector económico Servicios,6,31.408572483613
2013,Colima,Sector económico Servicios,6,22.52330802783389
2011,Colima,Sector económico Servicios,6,27.77379496850689
2021,Chiapas,Total,7,16.57097977
2019,Chiapas,Total,7,16.7819095174354
2017,Chiapas,Total,7,30.4652307901259
2015,Chiapas,Total,7,25.8999239514777
2013,Chiapas,Total,7,26.070436905935
2011,Chiapas,Total,7,26.647714650944504
2021,Chiapas,Tamaño Micro,7,16.06552853
2019,Chiapas,Tamaño Micro,7,16.1754522628164
2017,Chiapas,Tamaño Micro,7,30.057803468208096
2015,Chiapas,Tamaño Micro,7,25.2777777777778
2013,Chiapas,Tamaño Micro,7,25.4612546125461
2011,Chiapas,Tamaño Micro,7,26.1880687563195
2021,Chiapas,Tamaño Pequeña,7,29.03454292
2019,Chiapas,Tamaño Pequeña,7,39.3292503801897
2017,Chiapas,Tamaño Pequeña,7,45.41666666666671
2015,Chiapas,Tamaño Pequeña,7,48.1099656357388
2013,Chiapas,Tamaño Pequeña,7,45.0381679389313
2011,Chiapas,Tamaño Pequeña,7,40.1806405686497
2021,Chiapas,Tamaño Mediana,7,44.15989051
2019,Chiapas,Tamaño Mediana,7,54.0788739246668
2017,Chiapas,Tamaño Mediana,7,63.1578947368421
2015,Chiapas,Tamaño Mediana,7,64.7540983606557
2013,Chiapas,Tamaño Mediana,7,58.8785046728972
2011,Chiapas,Tamaño Mediana,7,52.7777777777778
2021,Chiapas,Tamaño Grande,7,43.17869142
2019,Chiapas,Tamaño Grande,7,60.05681818181821
2017,Chiapas,Tamaño Grande,7,65.5172413793103
2015,Chiapas,Tamaño Grande,7,73.2558139534884
2013,Chiapas,Tamaño Grande,7,58.7301587301587
2011,Chiapas,Tamaño Grande,7,64.4230769230769
2021,Chiapas,Sector económico Comercio,7,19.2695535
2019,Chiapas,Sector económico Comercio,7,16.9067150009957
2017,Chiapas,Sector económico Comercio,7,34.4801056012551
2015,Chiapas,Sector económico Comercio,7,26.7216440028088
2013,Chiapas,Sector económico Comercio,7,29.2351554267108
2011,Chiapas,Sector económico Comercio,7,27.7926595557374
2021,Chiapas,Sector económico Industria,7,8.913377924
2019,Chiapas,Sector económico Industria,7,13.6217165043728
2017,Chiapas,Sector económico Industria,7,29.3208072987488
2015,Chiapas,Sector económico Industria,7,19.1951061315783
2013,Chiapas,Sector económico Industria,7,29.5615948169504
2011,Chiapas,Sector económico Industria,7,22.7522915135626
2021,Chiapas,Sector económico Servicios,7,15.57926665
2019,Chiapas,Sector económico Servicios,7,17.6663101052962
2017,Chiapas,Sector económico Servicios,7,25.4798873018962
2015,Chiapas,Sector económico Servicios,7,27.2980623331095
2013,Chiapas,Sector económico Servicios,7,20.1433832881699
2011,Chiapas,Sector económico Servicios,7,26.0602485446648
2021,Chihuahua,Total,8,21.49108692
2019,Chihuahua,Total,8,23.0373848375207
2017,Chihuahua,Total,8,31.9589985632205
2015,Chihuahua,Total,8,34.5900933926584
2013,Chihuahua,Total,8,28.66449555198089
2011,Chihuahua,Total,8,38.1198681961439
2021,Chihuahua,Tamaño Micro,8,19.94470395
2019,Chihuahua,Tamaño Micro,8,22.0584481225236
2017,Chihuahua,Tamaño Micro,8,30.7692307692308
2015,Chihuahua,Tamaño Micro,8,33.7638376383764
2013,Chihuahua,Tamaño Micro,8,27.6521739130435
2011,Chihuahua,Tamaño Micro,8,36.9369369369369
2021,Chihuahua,Tamaño Pequeña,8,37.36030416
2019,Chihuahua,Tamaño Pequeña,8,34.3810546237487
2017,Chihuahua,Tamaño Pequeña,8,47.7178423236514
2015,Chihuahua,Tamaño Pequeña,8,44.1605839416058
2013,Chihuahua,Tamaño Pequeña,8,41.1764705882353
2011,Chihuahua,Tamaño Pequeña,8,50.0
2021,Chihuahua,Tamaño Mediana,8,40.6899723
2019,Chihuahua,Tamaño Mediana,8,42.94566954665479
2017,Chihuahua,Tamaño Mediana,8,57.4850299401198
2015,Chihuahua,Tamaño Mediana,8,47.0198675496689
2013,Chihuahua,Tamaño Mediana,8,42.0454545454545
2011,Chihuahua,Tamaño Mediana,8,67.2413793103448
2021,Chihuahua,Tamaño Grande,8,40.75826018
2019,Chihuahua,Tamaño Grande,8,43.5708966788554
2017,Chihuahua,Tamaño Grande,8,55.17241379310351
2015,Chihuahua,Tamaño Grande,8,59.4594594594595
2013,Chihuahua,Tamaño Grande,8,52.1367521367521
2011,Chihuahua,Tamaño Grande,8,60.1190476190476
2021,Chihuahua,Sector económico Comercio,8,25.6104421
2019,Chihuahua,Sector económico Comercio,8,24.1478867701752
2017,Chihuahua,Sector económico Comercio,8,34.5227393280391
2015,Chihuahua,Sector económico Comercio,8,40.8451767720087
2013,Chihuahua,Sector económico Comercio,8,33.883273173673
2011,Chihuahua,Sector económico Comercio,8,43.5985217073929
2021,Chihuahua,Sector económico Industria,8,26.33243035
2019,Chihuahua,Sector económico Industria,8,23.613103825585
2017,Chihuahua,Sector económico Industria,8,37.3786033301038
2015,Chihuahua,Sector económico Industria,8,29.7742134959931
2013,Chihuahua,Sector económico Industria,8,32.5913982965861
2011,Chihuahua,Sector económico Industria,8,37.8190735422894
2021,Chihuahua,Sector económico Servicios,8,16.46417043
2019,Chihuahua,Sector económico Servicios,8,21.8167325787196
2017,Chihuahua,Sector económico Servicios,8,27.7056800238763
2015,Chihuahua,Sector económico Servicios,8,29.1054367028507
2013,Chihuahua,Sector económico Servicios,8,22.9700505638981
2011,Chihuahua,Sector económico Servicios,8,34.1932762005914
2021,Ciudad de México,Total,9,36.1751597
2019,Ciudad de México,Total,9,30.390471287038803
2017,Ciudad de México,Total,9,40.0416515557878
2015,Ciudad de México,Total,9,38.7525265048809
2013,Ciudad de México,Total,9,28.4399135488102
2011,Ciudad de México,Total,9,41.5160995600957
2021,Ciudad de México,Tamaño Micro,9,35.59276126
2019,Ciudad de México,Tamaño Micro,9,29.4882593718808
2017,Ciudad de México,Tamaño Micro,9,39.5089285714286
2015,Ciudad de México,Tamaño Micro,9,38.3141762452107
2013,Ciudad de México,Tamaño Micro,9,27.5609756097561
2011,Ciudad de México,Tamaño Micro,9,40.1639344262295
2021,Ciudad de México,Tamaño Pequeña,9,42.39025634
2019,Ciudad de México,Tamaño Pequeña,9,42.8793652033056
2017,Ciudad de México,Tamaño Pequeña,9,45.4887218045113
2015,Ciudad de México,Tamaño Pequeña,9,41.2639405204461
2013,Ciudad de México,Tamaño Pequeña,9,37.1428571428571
2011,Ciudad de México,Tamaño Pequeña,9,60.9375
2021,Ciudad de México,Tamaño Mediana,9,44.90303912
2019,Ciudad de México,Tamaño Mediana,9,48.6301466033243
2017,Ciudad de México,Tamaño Mediana,9,58.88888888888889
2015,Ciudad de México,Tamaño Mediana,9,57.0754716981132
2013,Ciudad de México,Tamaño Mediana,9,48.92086330935249
2011,Ciudad de México,Tamaño Mediana,9,55.384615384615394
2021,Ciudad de México,Tamaño Grande,9,42.704539540000006
2019,Ciudad de México,Tamaño Grande,9,39.6343565153227
2017,Ciudad de México,Tamaño Grande,9,49.729729729729705
2015,Ciudad de México,Tamaño Grande,9,50.0
2013,Ciudad de México,Tamaño Grande,9,47.1204188481675
2011,Ciudad de México,Tamaño Grande,9,55.494505494505496
2021,Ciudad de México,Sector económico Comercio,9,41.91041931
2019,Ciudad de México,Sector económico Comercio,9,33.690765866533
2017,Ciudad de México,Sector económico Comercio,9,42.5099233637768
2015,Ciudad de México,Sector económico Comercio,9,42.9800746446712
2013,Ciudad de México,Sector económico Comercio,9,31.3094848654962
2011,Ciudad de México,Sector económico Comercio,9,46.5938354818886
2021,Ciudad de México,Sector económico Industria,9,31.058043530000003
2019,Ciudad de México,Sector económico Industria,9,34.8673254520581
2017,Ciudad de México,Sector económico Industria,9,35.6561332968926
2015,Ciudad de México,Sector económico Industria,9,38.3048861094867
2013,Ciudad de México,Sector económico Industria,9,25.3949971212224
2011,Ciudad de México,Sector económico Industria,9,50.1617461060435
2021,Ciudad de México,Sector económico Servicios,9,30.58121298
2019,Ciudad de México,Sector económico Servicios,9,25.718661655033
2017,Ciudad de México,Sector económico Servicios,9,37.9896457986681
