Year,Tipo de localidad,Mujeres_trabajo doméstico,Value
2014,Rural (localidades menores a 2 500 habitantes),De 45 a 54 años,31.49935907555
2019,Rural (localidades menores a 2 500 habitantes),De 55 a 64 años,32.0806354286
2014,Rural (localidades menores a 2 500 habitantes),De 55 a 64 años,28.54638343392
2019,Rural (localidades menores a 2 500 habitantes),De 65 años y más,24.48351161719
2014,Rural (localidades menores a 2 500 habitantes),De 65 años y más,25.00947214521
2019,Rural (localidades menores a 2 500 habitantes),Total (12 años y más),9.65742402377
2014,Rural (localidades menores a 2 500 habitantes),Total (12 años y más),8.25054271991
2019,Rural (localidades menores a 2 500 habitantes),De 15 y más,9.95790761941
2014,Rural (localidades menores a 2 500 habitantes),De 15 y más,8.58147784554
2019,Rural (localidades menores a 2 500 habitantes),De 15 a 24 años,8.33185572216
2014,Rural (localidades menores a 2 500 habitantes),De 15 a 24 años,7.421343430350001
2019,Rural (localidades menores a 2 500 habitantes),De 25 a 44 años,10.38430239805
2014,Rural (localidades menores a 2 500 habitantes),De 25 a 44 años,8.95833530553
2019,Rural (localidades menores a 2 500 habitantes),De 45 a 54 años,10.42487640888
2014,Rural (localidades menores a 2 500 habitantes),De 45 a 54 años,8.95054569756
2019,Rural (localidades menores a 2 500 habitantes),De 55 a 64 años,9.71383560041
2014,Rural (localidades menores a 2 500 habitantes),De 55 a 64 años,8.78011204665
2019,Rural (localidades menores a 2 500 habitantes),De 65 años y más,11.78166841932
2014,Rural (localidades menores a 2 500 habitantes),De 65 años y más,8.9387078116
